row_label,col_1,col_2,col_3,col_4,col_5,col_6
Dismissals on record...................................,11,10,7,2,1,0
"Decisions on Objections and/or Challenges, total..................",596,573,512,5,46,5
By Regional Directors........................................................,250,229,212,2,15,2
By Board............................................................................,346,344,310,3,31,3
In stipulated elections..................................................,304,303,272,2,29,1
No Exceptions to Regional Directors' reports......,165,165,152,0,13,0
Exceptions to Regional Directors' reports..............,139,138,120,2,16,1
In directed elections ( after transfer by Regional Director)........................................................................,34,34,31,1,2,0
Review of Regional Directors' supplemental decisions:,,,,,,
Request for review received..................................,29,29,28,0,1,0
Withdrawn before request ruled upon....................,2,2,2,0,0,0
"Board action on request ruled upon, total..............",30,27,26,0,1,0
Granted..............................................................,5,4,4,0,0,0
Denied..............................................................,22,20,19,0,1,0
Remanded........................................................,3,3,3,0,0,0
"Withdrawn after request granted, before Board review......................................................................",0,0,0,0,0,0
"Board decision after review, total..........................",8,7,7,0,0,0
Regional Directors' decisions:,,,,,,
Affirmed......................................................,2,1,1,0,0,1
Modified......................................................,1,1,1,0,0,0
Reversed......................................................,5,5,5,0,0,1
