row_label,Price
Statutory Texts,
National Labor Relations Act (including War Labor Disputes Act and pertinent extracts from the 1943 amendments to the Communications Act of 1934),0.10
"Labor Management Relations Act, 1947",.10
"Rules and Regulations Series 5, and Statements of Procedure",.20
Annual Reports of the N. L. R. B.,
"Second Annual Report, for the fiscal year ended June 30, 1947",.20
"Fifth Annual Report, for the fiscal year ended June 30, 1940",.20
"Sixth Annual Report, for the fiscal year ended June 30, 1941",.20
"Seventh Annual Report, for the fiscal year ended June 30, 1942",.25
"Eighth Annual Report, for the fiscal year ended June 30, 1943",.35
"Ninth Annual Report, for the fiscal year ended June 30, 1944",.20
"Tenth Annual Report, for the fiscal year ended June 30, 1945",.25
"Eleventh Annual Report, for the fiscal year ended June 30, 1946",.35
"Twelfth Annual Report, for the fiscal year ended June 30, 1947",.40
Decisions and Orders of the N. L. R. B.,
"To date, 72 volumes of the Decisions and Orders of the National Labor Relations Board have been issued. They range in price from $1.25 to $3, with the exception of volume 1 which is $4.",
"Table of Cases Decided, covering volumes 1-41",.30
Digest of Decisions of the N. L. R. B. covering volumes 1-45,2.25
"Digest and Index of Decisions of the N. L. R. B., covering volumes 45-70",2.50
"Index to Volume 48, Decisions and Orders of the N. L. R. B., 1945",.15
Court Documents,
"Arguments in the Cases arising under the National Labor Relations Act before the Supreme Court of the United States, February 8-11, 1937",.15
"To date, four volumes of court decisions relating to the National Labor Relations Act have been issued. They range in price from $1.25 to $2.75, and cover the period through June 30, 1944.",
Special Studies,
"The Effect of Labor Relations in the Bituminous Coal Industry upon Interstate Commerce, N. L. R. B. Division of Economic Research Bulletin No. 2; 1938",.20
"Collective Bargaining in the Newspaper Industry, N. L. R. B. Division of Economic Research Bulletin No. 3; 1938",.30
"Studies of the Results of National Labor Relations Board Activities, a Summary of Operations Analysis, 1942",.20
"A Guide to the National Labor Relations Act, by Louis G. Silverberg; U. S. Department of Labor, Bulletin No. 81, 1946",.10
Documents Out of Print,
