row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22
Total all circuits,61,354,48,78.7,279,78.8,3,4.9,23,6.5,4,6.6,17,4.8,3,4.9,11,3.1,3,4.9,24,6.8
"Boston, MA……..",2,13,2,100.0,12,92.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.7,0,0.0,0,0.0
"New York, NY….",14,22,11,78.6,16,72.7,1,7.1,1,4.5,1,7.1,2,9.1,1,7.1,1,4.5,0,0.0,2,9.1
"Philadelphia, PA..",2,15,2,100.0,12,80.0,0,0.0,1,6.7,0,0.0,1,6.7,0,0.0,0,0.0,0,0.0,1,6.7
"Richmond, VA….",1,35,0,0.0,26,74.3,0,0.0,3,8.6,0,0.0,1,2.9,0,0.0,2,5.7,1,100.0,3,8.6
"New Orleans, LA.",2,19,2,100.0,16,84.2,0,0.0,2,10.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.3
"Cincinnati, OH…..",6,53,6,100.0,43,81.1,0,0.0,5,9.4,0,0.0,2,3.8,0,0.0,0,0.0,0,0.0,3,5.7
"Chicago, IL……...",3,24,2,66.7,19,79.2,0,0.0,1,4.2,1,33.3,2,8.3,0,0.0,1,4.2,0,0.0,1,4.2
"St. Louis, MO…...",1,16,1,100.0,12,75.0,0,0.0,3,18.9,0,0.0,0,0.0,0,0.0,1,6.3,0,0.0,0,0.0
"San Francisco, CA",11,32,9,81.8,25,78.1,0,0.0,1,3.1,1,9.1,2,6.3,1,9.1,1,3.1,0,0.0,3,9.4
"Denver, CO…..…",0,14,0,0.0,13,92.9,0,0.0,1,7.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"Atlanta, GA..……",3,16,3,100.0,14,87.5,.0,0.0,0,0.0,.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,12.5
"Washington, DC...",16,95,10,62.5,71,74.7,2,12.5,5,5.3,1,6.3,7,7.4,1,6.3,4,4.2,2,12.5,8,8.4
