row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
Total,21532,5809,9279,16544,100 0,100.0,100 0,26 9,42.9,30 2
1949,,,,,,,,,,
July,1427,445,562,420,77,60,64,31 2,39.4,29 4
August,1820,555,729,I 536,95,78,82,30.5,40 1,29.4
September,1197,451,704,442,78,76,6.7,282,44 1,27 7
October,1593,475,630,488,82,68,75,29 8,39 6,30 6
November,1595,441,686,2 468,76,74,72,27.7,43.0,293
December,1719,411,760,3 548,71,82,84,23.9,44.2,31.9
1950 January,1676,433,729,514,74,79,7.9,25 8,43.5,30 7
February,1878,476,896,2 506,82,97,7.7,25.4,47 7,26 9
March,2150,489,995,666,8.4,10 7,10 2,22 7,46 3,31 0
April,2073,523,882,668,90,9.5,10 2,25 2,42.6,32 2
May,2086,562,827,2 697,97,89,10 6,26 9,39.7,33 4
June,2018,548,879,2 591,9.4,9.5,9.0,27.1,43.6,29.3
