row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total, all +",5281,100.0,4142,100.0,155,100.0,984,100.0,118,100.0
"Certification issued, total",3317,62.8,2766,66.8,57,36.8,494,50.2,68,57.6
After,,,,,,,,,,
Consent election,7,0.1,6,0.1,0,0.0,1,0.1,4,3.4
Before notice of hearing,2,0.0,2,0.0,0,0.0,0,0.0,4,3.4
"After notice of hearing, before hearing closed",5,0.1,4,0.1,0,0.0,1,0.1,0,0.0
"After hearing closed, before decision",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated election,2864,542,2362,57.0,48,31.0,454,46.1,51,43.2
Before notice of hearing,869,16.5,648,15.6,16,10.3,205,20.8,49,413
"After notice of hearing, before hearing closed",1973,37.4,1694,40.9,32,2E6,247,25.1,2,1.7
"After hearing closed, before decision",22,0.4,20,0.5,0,0.0,2,0.2,0,0.0
Expedited election,2,0.0,1,0.0,1,0.6,0,0.0,0,` 0.0
Regional Director-directed election,408,7.7,363,8.7,8,52,37,3.7,13,11.0
Board-directed election,36,0.6,34,0.8,0,0.0,2,0.2,0,0.0
"By withdrawal, total",1676,31.7,1270,30.7,71,45.8,335,34.0,41,34.7
Before notice of hearing,563,10.7,326,7.9,42,27.1,195,19.8,36,30.5
"After notice of hearing, before hearing closed",979,185,825,19.9,27,17.4,127,12.9,3,2.5
"After hearing closed, before decision",31,0.6,26,0.6,0,0.0,5,0.5,2,1.7
After Regional Director's decision and direction of election,103,2.0,93,2.2,2,1.3,8,0.8,0,0.0
After Board decision and direction of election,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"By dismissal, total",288,5.5,106,2.6,27,17.4,155,15.8,9,7.6
Before notice of hearing,125,2.4,18,0.4,10,6.5,97,9.9,5,4.2
"After notice of hearing, before hearing closed",67,1.3,16,0.4,11,7.1,40,4.1,1,0.8
"After hearing closed, before decision",10,02,5,0.1,1,0.6,4,0.4,'0,0.0
By Regional Director's decision,72,1.4,57,1.4,4,2.6,11,1.1,0,0.0
By Board decision,- 14,0.3,10,0.2,1,0.6,3,0.3,3,2.5
