row_label,Total elections,Objections only — Number,Objections only — Percent,Challenges only — Number,Challenges only — Percent,Objections and challenges — Number,Objections and challenges — Percent,Total objections — Number,Total objections — Percent,Total challenges — Number,Total challenges — Percent
All representation elections,5268,407,7.7,205,3.9,124,2.4,531,10.1,329,6.2
By type of case,,,,,,,,,,,
In RC cases,4153,375,9.0,151,3.6,114,2.7,489,11.8,265,6.4
In RM cases,233,7,3.0,10,4.3,1,0.4,8,3.4,11,4.7
In RD cases,882,25,2.8,44,5.0,9,1.0,34,3.9,53,6.0
By type of election,,,,,,,,,,,
Consent elections,169,9,5.3,7,4.1,1,0.6,10,5.9,8,4.7
Stipulated elections,4058,239,5.9,148,3.6,111,2.7,350,8.6,259,6.4
Expedited elections,73,5,6.8,2,2.7,1,1.4,6,8.2,3,4.1
Regional director-directed elections,904,146,16.2,46,5.1,10,1.1,156,17.3,56,6.2
Board-directed elections,64,8,12.5,2,3.1,1,1.6,9,14.1,3,4.7
