row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
A By number of cases involved,257q,,,,,,,,,,,,
Notice posted Recormition or other assistance with-,2363,1732,992,103,83,249,305,631,405,73,17,82,54
drawn,62,62,31,7,3,16,5,,,,,,
Employer-dominated union disestablished_,27,27,8,6,2,6,5,,,,,,
Employees offered reinstatement,1405,1405,866,85,49,183,222,,,,,,
Employees placed on preferential hiring list,131,131,76,35,2,10,8,,,,,,
Hiring hall rights restored,38,,,,,,,38,32,4,0,0,2
Objections to employ- ment withdrawn _ _ _,118,,,,,,,118,82,22,1,5,8
Picketing end-A Work stoppage ended_,733 270,,,_ _,,,,733 270,654 248,28 11,6 0,33 6,12 5
Collective bargaining begun,1388,1244,981,36,18,90,119,144,132,4,2,5,1
Backpay distributed _ _,1679,1514,991,85,51,196,191,165,104,24,3,11,23
"Reimbursement of fees, dues, and fines_",91,45,24,2,2,9,8,46,29,2,6,8,1
Other conditions of employment im- proved,561,262,261,0,0,0,1,299,294,0,0,5,0
Other remedies,31,14,11,0,1,2,0,17,16,0,1,0,0
