row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Cases pending June 30, 1937",256,,28.7,94712,,39.3
"Cases received July 1, 1937, to June 30, 1938_",635,,71.5,146475,,60.7
Total cases on docket,891,,100.0,241187,,100.0
Cases closed before formal action:,,,,,,
By settlement,158,29.3,17.7,36161,31.0,15.0
By dismissal,153,28.3,17.2,43836,37.6,18.1
By withdrawal,136,25.2,15.3,19104,16.4,7.9
By transfer to other agencies,5,. 9,. 5,1577,1.4,. 7
Total cases closed before formal ac- tion,452,83.7,50.7,100678,86.4,41.7
Cases closed after formal action:,,,,,,
By settlement,15,,1.7,1128,1.0,. 5
• By dismissal before issuance of Board decision,40,2.8,4.5,3298,2.8,1.4
By withdrawal before issuance of Board decision,3,7.4 . 5,. 3,3975,3.4,1.6
By transfer to other agencies By intermediate report finding no vio- lation,,,,,,
By compliance with intermediate re- port,1,. 2,. 1,1,(0,(I)
By issuance of decisions and orders:,,,,,,
Certification,20,3.7,2.3,4020,3.5,1.7
Compliance,2,.4,.2,25,(I),(I)
Dismissal of complaint or petition_,7,1.3,. 8,3361,2.9,I. 4
Total cases closed after formal action,se,16.3,""" 9. 9",15858,13.6,6.6
"Total eases closed July 1, 1937, to June 30, 1938",540,100.0,60.6,116486,100.0,48.3
"Cases pending June 30, 1938",351,,39.4,124701,,51.7
