Participating unions,Total elections,Percent won,Total won,Elections won by unions: AFL-CIO unions,Elections won by unions: Teamsters,Elections won by unions: Other national unions,Elections won by unions: Other local unions,Elections in which no representative chosen,Employees eligible to vote: Total,Employees eligible to vote: In elections won,Employees eligible to vote: In units won by AFL-CIO unions,Employees eligible to vote: In units won by Teamsters,Employees eligible to vote: In units won by Other national unions,Employees eligible to vote: In units won by Other local unions,Employees eligible to vote: In elections with no representative chosen
AFL-CIO v. AFL-CIO v. AFL-CIO v. Nat'l (tail of Section A 3-or-more-union row),2,100.0,2,,,,,0,302,302,302,,,,0
3 (or more)-union elections subtotal,44,88.6,39,24,6,9,0,5,9295,6638,2857,487,1464,1181,
Total representation elections (Section A grand total),8074,55.2,4458,2501,1245,467,245,3616,609558,318890,190159,48558,38535,41632,289668
B. ELECTIONS IN RC CASES — AFL-CIO,3887,51.9,2068,2068,,,,1819,265673,104601,104601,,,,161072
Teamsters,1963,52.8,1036,,1056,,,907,67482,27011,,27011,,,40431
Other national unions,609,57.1,348,,,348,,261,75094,22153,,,22153,,48236
Other local unions,247,58.3,144,,,,144,103,11842,6097,,,,6097,5455
1-union elections subtotal (RC),6706,53.9,3616,2068,1056,348,144,3090,415166,159882,104601,27011,22153,6097,255234
2-union,,,,,,,,,,,,,,,
2-union elections subtotal (RC),677,82.7,560,268,118,92,82,117,148890,130326,74166,16972,14000,27726,18533
3 (or more)-union elections subtotal (RC),44,88.6,39,24,6,9,0,5,11408,10227,2632,487,1464,1181,
Total RC elections,7426,55.8,4214,2357,1179,444,234,3212,575464,300737,184466,44245,38235,33257,274727
