row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total, all",6235,100.0,4834,100.0,304,100.0,1.097,100.0,122,100.0
Certification issued. total,3.812,61.1,3105,64.2,102,33.6,605,55.2,66,54.1
After,,,,,,,,,,
Consent election,41,0.7,28,0.6,5,1.6,8,0.7,6,4.9
Before notice of hearing,16,0.3,10,0.2,4,1.3,2,0.2,6,4.9
"After notice of hearing, before hearing closed -",25,0.4,18,0.4,1,0.3,6,0.5,0,
"After hearing closed, before decision ....... ....",0,,0,,0,,0,,0,
Stipulated election,3.260,52.3,2632,54.4,78,25.7,550,50.1,44,36.1
Before notice of heanng,1.256,20.1,922,19.1,36,11.8,298,27.2,41,33.6
"After nonce of hearing, before hearing closed",1990,31.9,1697,35.1,42,13.8,251,22.9,3,2.5
"After hearing closed, before decision",14,0.2,13,0.3,0,,1,0.1,0,
Expedited election,4,0.1,0,,4,1.3,0,,0,
Regional Director-directed election,466,7.7,410,8.5,15,4.9,41,33,16,13.1
Board-directed election,41,0.6,35,"0,7",0,,6,0.5,0,
"By withdrawal, total .... .......",1999,32.1,1542,31.9,131,43.1,326,29.7,42,344
Before notice of hearing,800,12.8,535,11.1,74,24.3,191,17.4,39,32.0
"After notice of hearing, befom hearing closed",1046,16.8,874,18.1,49,16.1,123,11.2,3,2.5
"After hearing closed, before decision",55,0.9,44,0.9,4,1.3,7,0.6,0,
After Regional Director's decision and direction of election,98,1.6,89,1 8,4,1.3,5,0.5,0,
After Board decision and direction of election .. ......... ......,0,,0,,0,,0,,0,
"By disnussal, total ..",424,6.8,187,39,71,234,166,15.1,14,11.5
Before notice of hearing .. ...... ....,208,3.3,51,1.1,43,14.1,114,10.4,13,10.7
"After notice of hearing, before hearing closed",95,1.5,43,0.9,19,6.3,33,3.0,1,0.8
"After hearing closed, before decision .. ........ ...... ...... ... ....",5,0.1,4,0.1,1,0.3,0,,0,
By Regional Director's decision . ....... ............... .......,113,18,87,1.8,8,2.6,18,1.6,0,
By Board decision,3,0.0,2,0.0,0,,1,0.1,0,
