row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Total RC and RMelections........,121064,1774,100.0,,500,100.0,490,100.0,76,100.0,708,100.0
Under 10............................................................,2695,439,24.7,24.7,198,39.6,106,21.6,18,23.7,117,16.5
10 to 19..............................................................,4622,325,18.3,43.1,101,20.2,92,18.8,12,15.8,120,16.9
20 to 29..............................................................,5798,223,12.6,55.6,54,10.8,68,13.9,7,9.2,94,13.3
30 to 39..............................................................,5576,156,8.8,64.4,34,6.8,46,9.4,5,6.6,71,10.0
40 to 49..............................................................,4983,108,6.1,70.5,15,3.0,28,5.7,10,13.2,55,7.8
50 to 59..............................................................,4721,81,4.6,75.1,17,3.4,22,4.5,4,5.3,38,5.4
60 to 69..............................................................,3955,60,3.4,78.5,14,2.8,18,3.7,3,3.9,25,3.5
70 to 79..............................................................,3427,41,2.3,80.8,4,0.8,12,2.4,2,2.6,23,3.2
80 to 89..............................................................,3635,44,2.5,83.3,5,1.0,13,2.7,1,1.3,25,3.5
90 to 99..............................................................,3590,36,2.0,85.3,5,1.0,10,2.0,3,3.9,18,2.5
100 to 109..........................................................,4145,40,2.3,87.5,9,1.8,11,2.2,2,2.6,18,2.5
110 to 119..........................................................,2662,23,1.3,88.8,5,1.0,7,1.4,0,0.0,11,1.6
120 to 129..........................................................,2417,19,1.1,89.9,4,0.8,4,0.8,0,0.0,11,1.6
130 to 139..........................................................,1634,11,0.6,90.5,3,0.6,2,0.4,0,0.0,6,0.8
140 to 149..........................................................,1971,14,0.8,91.3,3,0.6,6,1.2,0,0.0,5,0.7
150 to 159..........................................................,1651,10,0.6,91.9,3,0.6,3,0.6,0,0.0,4,0.6
160 to 169..........................................................,1317,8,0.5,92.3,2,0.4,1,0.2,1,1.3,4,0.6
170 to 179..........................................................,1493,8,0.5,92.8,2,0.4,2,0.4,1,1.3,3,0.4
180 to 189..........................................................,1255,7,0.4,93.2,0,0.0,2,0.4,0,0.0,5,0.7
190 to 199..........................................................,1055,6,0.3,93.5,2,0.4,3,0.6,0,0.0,1,0.1
200 to 299..........................................................,10757,47,2.6,96.2,10,2.0,13,2.7,1,1.3,23,3.2
300 to 399..........................................................,7193,20,1.1,97.3,2,0.4,7,1.4,0,0.0,11,1.6
400 to 499..........................................................,7415,18,1.0,98.3,4,0.8,5,1.0,2,2.6,7,1.0
599..........................................................,3482,6,,,,0.4,1,0.2,,,1,0.1
500 to,,,0.3,98.6,2,,,,2,2.6,,
600 to 799.......................................................... 999..........................................................,5994,9,0.5,99.2,0,0.0,2,0.4,1,1.3,6,0.8
800 to,2580,4,0.2,99.4,0,0.0,2,0.4,0,0.0,2,0.3
