row_label,Objections filed,Objections withdrawn,Objections ruled upon,Overruled / Number,Overruled / Percent of total ruled upon,Sustained / Number,Sustained / Percent of total ruled upon
All representation elections,253,90,163,125,76.7,38,23.3
By type of case:,,,,,,,
RC cases,232,85,147,114,77.6,33,22.4
RM cases,1,0,1,1,100.0,0,
RD cases,20,5,15,10,66.7,5,33.3
By type of election:,,,,,,,
Consent elections,0,0,0,0,,0,
Stipulated elections,188,69,119,94,79.0,25,21.0
Expedited elections,0,0,0,0,,0,
Regional Director-directed elections,65,21,44,31,70.5,13,29.5
Board-directed elections,0,0,0,0,,0,
