Industrial group,Number of elections — Total,Number of elections in which representation rights were won by — AFL-CIO affiliates,Number of elections in which representation rights were won by — Unaffiliated unions,Number of elections in which no representative was chosen,Eligible voters,Valid votes cast
Total,7355,2708,1597,3050,536047,482558
Manufacturing,4391,1754,806,1831,409810,373016
"Agriculture, forestry, and fisheries",9,4,1,4,211,184
Mining,85,18,34,33,2904,2567
Construction,136,79,16,41,5329,4617
Wholesale trade,711,132,276,303,16645,14967
Retail trade,1043,392,184,467,31886,28145
"Finance, insurance, and real estate",40,18,5,17,3344,3172
"Transportation, communication, and other public utilities",620,179,211,230,47262,40610
Services,73,30,12,31,3606,3306
