row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22
Total all circuits,79,478,60,75.9,331,69.2,2,2.5,35,7.3,9,11.4,35,7.3,1,1.3,22,4.6,7,8.9,55,11.5
"Boston, MA……..",5,12,4,80.0,8,66.7,0,0.0,1,8.3,0,0.0,0,0.0,1,20.0,1,8.3,0,0.0,2,16.7
"New York, NY….",8,29,6,75.0,25,86.2,0,0.0,1,3.4,2,25.0,1,3.4,0,0.0,1,3.4,0,0.0,1,3.4
"Philadelphia, PA..",1,30,1,100.0,24,80.0,0,0.0,3,10.0,0,0.0,1,3.3,0,0.0,1,3.3,0,0.0,1,3.3
"Richmond, VA….",4,48,4,100.0,30,62.5,0,0.0,5,10.4,0,0.0,5,10.4,0,0.0,3,6.3,0,0.0,5,10.4
"New Orleans, LA.",3,26,3,100.0,17,65.4,0,0.0,5,19.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,15.4
"Cincinnati, OH…..",16,69,14,87.5,49,71.0,1,6.3,3,4.3,0,0.0,2,2.9,0,0.0,5,7.2,1,6.3,10,14.5
"Chicago, IL……...",7,39,5,71.4,29,74.4,0,0.0,3,7.7,2,28.6,1,2.6,0,0.0,3,7.7,0,0.0,3,7.7
"St. Louis, MO…...",1,32,1,100.0,21,65.6,0,0.0,3,9.4,0,0.0,3,9.4,0,0.0,1,3.1,0,0.0,4,12.5
"San Francisco, CA",7,25,5,71.4,20,80.0,0,0.0,0,0.0,1,14.3,2,8.0,0,0.0,1,4.0,1,14.3,2,8.0
"Denver, CO…..…",2,15,2,100.0,11,73.3,0,0.0,1,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,20.0
"Atlanta, GA..……",2,19,1,50.0,15,78.9,0,0.0,0,0.0,0,0.0,1,5.3,0,0.0,0,0.0,1,50.0,3,15.8
"Washington, DC...",23,134,14,60.9,82,61.2,1,4.3,10,7.5,4,17.4,19,14.2,0,0.0,0,4.5,4,17.4,17,12.7
