row_label,col_1,col_2
Total number of cases closed,229,100.0
Agreement of the parties-informal settlement,91,397
Before 10(k) notice,71,31.0
"After 10(k) notice, before opening of 10(k) hearing",19,8.3
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",1,04
Compliance with Board decision and determination of dispute,3,1.3
Withdrawal,91,39.7
Before 10(k) notice,75,32.8
"After 10(k) notice, before opening of 10(k) hearing",11,4.8
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",s,2.2
After Board decision and determination of dispute,0,0.0
Dismissal,44,19.2
Before 10(k) notice,36,15.7
"After 10(k) notice, before opening of 10(k) hearing",5,2.2
After opening of 10(k) hearing. before issuance of Board decision and determination of dispute,1,0.4
By Board decision and determination of dispute,2,09
