row_label,col_1,col_2,col_3
Cases on docket during the year,7.900,,1000
Total number of cases closed,6807,100.0,82.4
"Before formal action, total",4353,66.9,55.1
Adjusted,2980,48.8,37.7
Direct recognition,196,3.0,2.5
Recognition following election or pay-roll check,2.345,36.0,29.7
Union unsuccessful in election or pay-roll check,439,0 6.8,5.5
Withdrawn,899,13.8,11.4
Dismissed,474,7.3,6.0
"After formal action, total",2.154,33.1,27.3
Before hearing,108,L7,1.4
Adjusted,56,.9,. 7
Direct recognition,6,.1,.1
Recognition following election or pay-roll check,43,.7,.5
Union unsuccessful in election or pay-roll check,7,.1,.1
Withdrawn,39,. 6,. 5
Dismissed,13,.2,.2
After hearing,117,1.8,1.5
Adjusted,68,1.0,. 9
Direct recognition,1,(I),(I)
Recognition following election or pay-roll check,59,. 9,.8
Union unsuccessful In election or pay-roll check,8,.1,.1
Withdrawn,40,. 6,.5
Dismissed,9,. 2,.1
After Board decision,1929,29.6,214
Certification,1468,22.8,58.0
After stipulated election,263,4.0,3.4
After ordered election Without election,"1,202 3",18.5 (9,(I) 15.2
,425,6.5,
Dismissed,,.8,5.4
After stipulated election After ordered election,38 180,2.7,.5
Without election,207,32,2.3 2.6
,,.5,
Withdrawn,32,,.4
Closed otherwise,4,.5,(1)
