row_label,col_1,col_2
National Distillers Corp,45,17
National Electric Coil Co,45,1060
National Electric Coil Co,48,1183
"National Fluorspar Co., Davenport Mine",45,190
"National Industries, Inc., Brass Foundry & Machine Division__ _",44,155
"National Lead Co., Magnus Metal Division of",46,691
"National Lead Co., Cincinnati, Ohio",46,1031
"National Lead Co., Magnus Metal Corp. Division of",45,728
"National Lead Co., St. Louis, Mo",45,182
"National Saving & Trust Co., Trustees; Linking, Geo. W., Co., its agents",46,696
National Traffic Guard Co,44,151
Nebraska Power Co,46,601
Nelson Transfer & Storage Co,47,344
"Nevada Consolidated Copper Corp., Ray Mines Division",46,208
"New Bedford Cotton Mfgrs. Assn., et al",47,1345
New Bedford Rayon Co,47,1334
New Britain Machine Co,48,263
New England Shipbuilding Corp,49,480
"New Idea, Inc",49,619
New Indiana Chair Co,43,318
New York Butchers Dressed Meat Corp,45,816
"New York Merchandise Co., Inc",50,41
New York Stock Exchange,43,766
Niagara Alkali Co,47,1290
Nicholson Terminal & Dock Co,49,582
Niles Fire Brick Co,46,1015
North American Aviation,44,1372
"N. C. Finishing Co., N. C. Fabrics Corp",44,681
North Range Mining Co,47,1306
"Northrop Aircraft, Inc",42,1109
"Northwest Airlines, Inc",47,498
Northwestern Aeronautical Corp,49,432
"Northwest Metal Products, Inc",46,111
Odenbach Shipbuilding Co,47,1261
"Odora Co., Inc",46,1067
"Ohio Crankshaft, Inc., Ohio Crankshaft Co., The",48,787
Ohio Public Service Co,45,1244
Ohmite Mfg. Co,50,815
Oil Well Supply Co,45,607
"Oklahoma Gas & Electric Co., Northern Division",42,750
Old Dominion Veneer Co,46,1158
"Olson, E. C., & Son",45,1260
"Oneida, Ltd",49,1178
Ordnance Steel Foundry Co,47,273
