Size of unit (number of employees),Number of elections,Percent of total,Elections in which representation rights were won by — AFL-CIO affiliates / Number,Elections in which representation rights were won by — AFL-CIO affiliates / Percent,Elections in which representation rights were won by — Unaffiliated unions / Number,Elections in which representation rights were won by — Unaffiliated unions / Percent,Elections in which no representative was chosen / Number,Elections in which no representative was chosen / Percent
A. COLLECTIVE-BARGAINING ELECTIONS,,,,,,,,
Total,4729,100.0,2619,100.0,323,100.0,1787,100.0
1-9,801,16.9,519,19.8,50,15.5,232,13.0
10-19,907,19.2,566,21.6,54,16.7,287,16.1
20-29,604,12.8,339,12.9,40,12.4,225,12.6
30-39,444,9.4,245,9.4,33,10.2,166,9.3
"Additional size bins (40-49 through 10,000 and over)",,,,,,,,
B. DECERTIFICATION ELECTIONS,,,,,,,,
Total (B section),145,100.0,44,100.0,2,100.0,99,100.0
1-9 (B section),30,20.7,2,4.5,0,.0,28,28.3
Additional decertification size bins (10-19 through 400 and over),,,,,,,,
