Section of the Act,Number of cases showing specific allegations,Percent of total cases
A. CHARGES FILED AGAINST EMPLOYERS UNDER SEC 8(a) — section subheader,,
8(a) Total cases,9550,100.0
8(a)(1),9550,100.0
8(a)(2),729,7.6
8(a)(3),6840,71.6
8(a)(4),240,2.5
8(a)(5),2584,27.1
B. CHARGES FILED AGAINST UNIONS UNDER SEC 8(b) — section subheader,,
8(b) Total cases,4553,100.0
8(b)(1),2399,52.7
8(b)(2),1785,39.2
8(b)(3),291,6.4
8(b)(4),1446,31.8
8(b)(5),28,.6
8(b)(6),14,.3
8(b)(7),354,7.8
C. ANALYSIS OF 8(b)(4) AND 8(b)(7) — section subheader,,
8(b)(4) Total cases,1446,100.0
8(b)(4)(A),192,13.3
8(b)(4)(B),1080,74.7
8(b)(4)(C),35,2.4
8(b)(4)(D),307,21.2
8(b)(7) Total cases,354,100.0
8(b)(7)(A),62,17.5
8(b)(7)(B),32,9.0
8(b)(7)(C),273,77.1
D. CHARGES FILED AGAINST UNIONS AND EMPLOYERS UNDER SEC 8(e) — section subheader,,
8(e) Total cases,63,
