Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order — Date issued,Temporary restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
24-CC-42,"*Union de Trabajadores de Muelles y Ramas Anexas de Puerto Rico (Old Juan Fritz Andriaz et al, Puerto Rico American Sugar Refinery Co.)","Oct 24, 1956",10 (l),,,"Nov 7, 1956",,"Aug 26, 1957","Jan 17, 1957"
21-CC-228,"*Teamsters, Laundry, Dane Sundry & Dry Cleaning Drivers, Local 928 (Southern Service Co., Ltd.)","Nov 2, 1956",10 (l),,,"Dec 3, 1956",,,"Sept. 25, 1957"
16-CC-71,"*Teamsters, Dallas General Drivers, Warehousemen & Helpers, Local 745 (Associated Wholesale Grocery of Dallas, Inc.)","Nov 14, 1956",10 (l),,,,"Nov 23, 1956",,"Sept. 11, 1957"
2-CB-1841,Longshoremen's Association (New York Shipping Association),"Nov 16, 1956",10 (l),"Nov 19, 1956","Dec 12, 1956",,,,"Sept. 30, 1957"
"6-CC-125, CD-33","*Electrical Workers, Local 5 (West Penn Power Co.)","Dec 4, 1956",10 (l),,,,,"Sept. 13, 1957",Settled 6-CC-120; w/drawn 6-CD-33
15-CC-89,"Seafarers, Atlantic & Gulf District (Gulf Dome Production Co.)","Dec 16, 1956",10 (l),,,,,,"Feb. 14, 1958"
"11-CC-11, 12, 16","*Longshoremen, International Association, Local 1422 (Charleston Stevedoring Co. et al.)","Jan 3, 1957",10 (l),,,,,"Oct. 16, 1957","Aug. 1, 1957"
4-CC-81-83,"*Teamsters, Highway Truck Drivers & Helpers, Local 107 (Coastal Tank Lines et al.)","Jan 14, 1957",10 (l),,,"Feb. 7, 1957",,"Sept. 6, 1957","July 24, 1957"
2-CC-407,"Garment Workers, Ladies, Local 155 (Packard Knitwear, Inc.)","Jan 15, 1957",10 (l),,,"Feb 19, 1957",,,"July 16, 1957"
2-CC-51-61,"*Teamsters, Locals 24, 407, et al. (A.C.E. Transportation Co.)","Jan 21, 1957",10 (l),,,,"Jan. 31, 1957","June 23, 1958","May 26, 1958"
12-CC-1,"Electrical Workers, Local 480 (Buscayne Television Corp.)","Jan 21, 1957",10 (l),,,,,"Nov. 26, 1957","Mar. 20, 1957"
5-CC-70,"Hod Carriers, Local 380 (The Kreger Co.)","Jan 23, 1957",10 (l),,,,,,"Jan. 2, 1958 (if R complies otherwise)"
28-CC-29,Sheet Metal Workers and Local 49 et al. (Gadsden Heating & Sheet Metal Works),"Jan 25, 1957",10 (l),,,,,"Dec. 18, 1957","July 25, 1957"
24-CC-49,"Garment Workers, Ladies, Local 480 (United Pants Factory of New York, Inc.)","Feb. 6, 1957",10 (l),,,,,,Settled.
2-CC-44,"Longshoremen, District Council of Puerto Rico, et al. (Editorial 'El Imparcial', Inc. & Puerto Rico Steam Ship Association)","Mar. 6, 1957",10 (l),"Mar. 6, 1957",,"Mar. 11, 1957",,"Oct. 1, 1957","Aug. 2, 1957"
9-CC-40,"*Teamsters, Local 175 (McLain Corp.)","Mar. 9, 1957",10 (l),,,,,"Nov. 18, 1957","July 5, 1957"
2-CC-308,"Engineers, Operating, Local 18 (Ameru Drainage & Metal Products)","Mar. 11, 1957",10 (l),,,,,"Apr. 16, 1958","Mar. 24, 1958"
