row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
DistrictofColumbia…………………………………,164,141,106,31,0,2,0,2,0,22,19,1,2,0,0,1
Virginia………………………………………………,314,237,201,35,1,0,0,0,0,76,68,1,7,0,0,1
WestVirginia………………………………………..,330,260,225,34,0,0,0,1,0,66,57,1,8,0,0,4
NorthCarolina……………………………………….,305,276,206,69,1,0,0,0,0,28,23,1,4,0,0,1
SouthCarolina……………………………………….,113,92,82,10,0,0,0,0,0,21,17,0,4,0,0,0
Georgia………………………………………………,610,539,432,102,4,0,0,1,0,71,56,1,14,0,0,0
Florida……………………………………………….,1236,1061,855,202,3,0,0,0,1,171,150,4,17,0,0,4
South Atlantic…………………………..,3679,3104,2518,569,10,2,0,4,1,561,483,10,68,0,0,14
Kentucky…………………………………………….,333,259,223,33,2,0,0,1,0,71,61,2,8,0,1,2
Tennessee……………………………………………,573,511,385,124,2,0,0,0,0,62,55,1,6,0,0,0
Alabama……………………………………………..,444,395,326,68,0,0,0,1,0,49,43,1,5,0,0,0
Mississippi…………………………………………..,175,148,130,18,0,0,0,0,0,25,22,0,3,1,1,0
East SouthCentral………………………,1525,1313,1064,243,4,0,0,2,0,207,181,4,22,1,2,2
Arkansas……………………………………………..,147,122,107,15,0,0,0,0,0,24,21,0,3,0,0,1
Louisiana…………………………………………….,530,493,379,113,1,0,0,0,0,36,28,1,7,0,0,1
Oklahoma……………………………………………,184,151,109,42,0,0,0,0,0,31,21,1,9,2,0,0
Texas………………………………………………...,979,878,639,238,1,0,0,0,0,100,84,3,13,0,0,1
West South Central……………………..,1840,1644,1234,408,2,0,0,0,0,191,154,5,32,2,0,3
Montana……………………………………………..,118,84,73,7,4,0,0,0,0,31,22,2,7,1,0,2
Idaho………………………………………………….,71,56,55,1,0,0,0,0,0,13,9,0,4,0,0,2
Wyoming…………………………………………….,44,36,24,12,0,0,0,0,0,8,7 61,0,1,0,0,0
Colorado……………………………………………..,582,506,430,75,1,0,0,0,0,69,,1,7,2,0,5
NewMexico……….………………………………..,163,134,108,25,1,0,0,0,0,28,24,0 2,4 8,1,0 1,0 1
Arizona…………………………………….………..,394,346,267,78,1,0,0,0,0,46,36,,,0,,2
Utah………………………………………………….,81,61,55,6,0,0,0,0,0,17,17,0,0,0,1,
Nevada………………………………………………,601,504,391,101,7,2,0,1,2,93,82,5,6,0,0,4
Mountain,2054,1727,1403,305,14,2,0,1,2,305,258,10,37,4,2,16
