row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Under 10,1328,240,277,277,12,86,15,319,I,100,4,286,208,318
10 to 19,2762,199,230,507,21,151,16,341,0,00,4,286,158,242
20 to 29,3020,124,143,650,20,143,7,149,4,400,0,00,93,142
30 to 39,2350,70,81',73 1,17,121,1,2 1,2,200,1,71,49,75
40 to 49,1781,40,46,777,8,57,1,21,0,00,2,144,29,44
50 to 59,2016,37,43,820,10,71,2,44,1,100,0,00,24,37
60 to 69,1331,21,24,844,7,51,0,00,0,00,1,71,13,20
70 to 79,1482,20,23,867,4,29,1,2 I,0,00,1,7 1,14,21
80 to 89,1168,14,16,883,5,36,1,21,0,00,0,00,8,12
90 to 99,1324,14,16,899,5,36,0,00,0,00,0,00,9,14
100 to 109,1051,10,12,91 I,2,14,0,00,0,00,0,00,8,12
110 to 119,693,6,07,918,3,21,0,00,0,00,I,71,2,03
12010 129,1246,10,12,930,2,14,1,2 1,0,00,0,00,7,II
130 to 139,682,5,06,936,3,21,0,00,0,00,0,00,2,03
140 to 149,1008,7,08,944,2,14,I,21,0,00,0,00,4,06
150 to 159,773,5,06,950,3,21,0,00,0,00,o,0 0,2,03
160 to 169,816,5,06,956,-3,21,0,00,0,00,o,0 0,2,03
170 to 199,754,4,05,961,2,14,0,00,0,00,0,00,2,03
20010 299,4284,18,21,982,7,51,0,00,1,100,0,00,10,IS
30010 499,4656,12,14,996,3,21,1,21,1,100,o,oo,7,II
500 to 799,2364,4,04,1000,I,07,0,00,0,00,0,00,3,05
