row_label,col_1,col_2
Subsections of Sec. 8(a): Total cases....................,16179,100.0
8(a)(1)....................................................................,2643,16.3
8(a)(1)(2)...............................................................,121,0.7
8(a)(1)(3)...............................................................,4747,29.3
8(a)(1)(4)...............................................................,128,0.8
8(a)(1)(5)...............................................................,6643,41.1
8(a)(1)(2)(3)..........................................................,69,0.4
8(a)(1)(2)(5)..........................................................,104,0.6
8(a)(1)(3)(4)..........................................................,341,2.1
8(a)(1)(3)(5)..........................................................,1217,7.5
8(a)(1)(4)(5)..........................................................,14,0.1
8(a)(1)(2)(3)(4)......................................................,9,0.1
8(a)(1)(2)(3)(5)......................................................,48,0.3
8(a)(1)(2)(4)(5)......................................................,3,0
8(a)(1)(3)(4)(5)......................................................,80,0.5
8(a)(1)(2)(3)(4)(5)................................................,12,0.1
1,1,1
8(a)(1)....................................................................,16179,100.0
8(a)(2)....................................................................,366,2.3
8(a)(3)....................................................................,6523,40.3
8(a)(4)....................................................................,587,3.6
8(a)(5)....................................................................,8121,50.2
B. Charges filed against unions under Section 8(b),B. Charges filed against unions under Section 8(b),B. Charges filed against unions under Section 8(b)
Subsections of Sec. 8(b): Total cases....................,6210,100.0
8(b)(1)..................................................................,4864,78.3
8(b)(2)..................................................................,33,0.5
8(b)(3)..................................................................,268,4.3
8(b)(4)..................................................................,487,7.8
8(b)(5)..................................................................,3,0
8(b)(6)..................................................................,1,0
8(b)(7)..................................................................,54,0.9
8(b)(1)(2)..............................................................,400,6.4
8(b)(1)(3)..............................................................,70,1.1
8(b)(1)(5)..............................................................,2,0
8(b)(2)(3)..............................................................,4,0.1
8(b)(3)(5)..............................................................,1,0
8(b)(3)(6)..............................................................,4,0.1
8(b)(1)(2)(3)..........................................................,16,0.3
8(b)(1)(2)(5)..........................................................,1,0
8(b)(1)(3)(6)..........................................................,1,0
8(b)(1)(2)(3)(5)(6)................................................,1,0
1,1,1
8(b)(1)..................................................................,5355,86.2
8(b)(2)..................................................................,455,7.3
8(b)(3)..................................................................,365,5.9
