row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Total number of cases closed...............................,22292,100.0,,16418,100.0,5428,100.0,224,100.0,116,100.0,34,100.0,27,100.0,45,100.0
Agreement of the parties......................................,7767,34.8,100.0,6674,40.7,976,18.0,71,31.7,11,9.5,6,17.6,10,37.0,19,42.2
Informal settlement.....................................,7763,34.8,99.9,6670,40.6,976,18.0,71,31.7,11,9.5,6,17.6,10,37.0,19,42.2
Before issuance of complaint...............,6700,30.1,86.3,5742,35.0,858,15.8,58,25.9,11,9.5,5,14.7,10,37.0,16,35.6
"After issuance of complaint, before opening of hearing..........................",1016,4.6,13.1,890,5.4,109,2.0,13,5.8,0,0.0,1,2.9,0,0.0,3,6.7
"After hearing opened, before issuance of administrative law judge's decision...........................................",47,0.2,0.6,38,0.2,9,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Formal settlement........................................,4,0.0,0.1,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Before opening of hearing...................,4,0.0,0.1,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated decision........................,3,0.0,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree..............................,1,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
After hearing opened...........................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated decision........................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree..............................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Compliance with...................................................,403,1.8,100.0,378,2.3,16,0.3,8,3.6,0,0.0,0,0.0,0,0.0,1,2.2
Administrative law judge's decision..........,7,0.0,1.7,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Board decision............................................,243,1.1,60.3,235,1.4,8,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Adopting administrative law judge's decision (no exceptions filed)........,75,0.3,18.6,69,0.4,6,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Contested............................................,168,0.8,41.7,166,1.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Circuit court of appeals decree....................,153,0.7,38.0,136,0.8,8,0.1,8,3.6,0,0.0,0,0.0,0,0.0,1,2.2
Supreme Court action..................................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Withdrawal...........................................................,7623,34.2,100.0,5585,34.0,1889,34.8,82,36.6,34,29.3,6,17.6,12,44.4,15,33.3
