row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Illinois......................................................,23,5,1,4,0,18,1123,968,431,112,319,0,537,494
Indiana......................................................,7,4,2,2,0,3,877,683,352,303,49,0,331,544
Michigan..................................................,15,8,5,3,0,7,863,734,426,255,171,0,308,628
Ohio..........................................................,19,10,4,6,0,9,1293,1172,661,294,367,0,511,870
Wisconsin..................................................,8,2,1,1,0,6,327,270,143,19,124,0,127,236
East North Central................................,72,29,13,16,0,43,4483,3827,2013,983,1030,0,1814,2772
Alabama....................................................,3,1,0,1,0,2,79,71,28,7,21,0,43,29
Kentucky..................................................,5,4,4,0,0,1,254,226,189,125,64,0,37,233
Mississippi................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee..................................................,4,1,1,0,0,3,268,223,87,78,9,0,136,3
East South Central................................,12,6,5,1,0,6,601,520,304,210,94,0,216,265
Puerto Rico................................................,1,1,1,0,0,0,33,30,23,23,0,0,7,33
U.S. Minor Outlying Islands....................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands............................................,1,0,0,0,0,1,119,87,30,0,0,30,57,0
Island Areas..........................................,2,1,1,0,0,1,152,117,53,23,0,30,64,33
New Jersey................................................,16,5,1,4,0,11,1121,832,448,49,375,24,384,602
New York..................................................,20,4,0,4,0,16,957,763,197,46,148,3,566,144
Pennsylvania............................................,13,8,4,4,0,5,599,583,370,172,198,0,213,474
Middle Atlantic....................................,49,17,5,12,0,32,2677,2178,1015,267,721,27,1163,1220
Arizona......................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado....................................................,1,1,1,0,0,0,282,163,85,85,0,0,78,282
Idaho..........................................................,1,1,0,1,0,0,63,62,32,0,32,0,30,63
Montana....................................................,3,0,0,0,0,3,30,20,5,2,3,0,15,0
Nevada......................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico..............................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah..........................................................,1,1,1,0,0,0,20,19,11,11,0,0,8,20
Wyoming..................................................,1,0,0,0,0,1,4,3,0,0,0,0,3,0
Mountain..............................................,7,3,2,1,0,4,399,267,133,98,35,0,134,365
Connecticut..............................................,1,0,0,0,0,1,3,2,0,0,0,0,2,0
Maine........................................................,1,1,1,0,0,0,53,51,32,32,0,0,19,53
Massachusetts............................................,2,0,0,0,0,2,143,119,43,12,31,0,76,0
