Type of litigation,Number of Proceedings — Total all courts — Number decided,Number of Proceedings — Total all courts — Court determination — Upholding Board position,Number of Proceedings — Total all courts — Court determination — Contrary to Board position,Number of Proceedings — In courts of appeals — Number decided,Number of Proceedings — In courts of appeals — Court determination — Upholding Board position,Number of Proceedings — In courts of appeals — Court determination — Contrary to Board position,Number of Proceedings — In district courts — Number decided,Number of Proceedings — In district courts — Court determination — Upholding Board position,Number of Proceedings — In district courts — Court determination — Contrary to Board position
Totals — all types,51,46,5,21,20,1,30,26,4
NLRB-initiated actions or interventions,5,3,2,2,2,0,3,1,2
To enforce subpoena,0,0,0,0,0,0,0,0,0
To defend Board's jurisdiction,3,3,0,2,2,0,1,1,0
To prevent conflict between NLRA and Bankruptcy Code,2,0,2,0,0,0,2,0,2
Action by other parties,34,33,1,17,16,1,17,17,0
To review non-final orders,10,10,0,10,10,0,0,0,0
To restrain NLRB from,24,23,1,7,6,1,17,17,0
Proceeding in R case,8,7,1,3,2,1,5,5,0
Proceeding in unfair labor practice case,11,11,0,2,2,0,9,9,0
Enforcing subpoena,2,2,0,1,1,0,1,1,0
Filing of Proof of Claim in BK,3,3,0,1,1,0,2,2,0
To compel NLRB to,12,10,2,2,2,0,10,8,2
Issue complaint,4,4,0,0,0,0,4,4,0
Take action in R Case,0,0,0,0,0,0,0,0,0
Comply with Freedom of Information Act,6,4,2,2,2,0,4,2,2
Other,2,2,0,0,0,0,2,2,0
To pay fees under Equal Access to Justice Act,1,1,0,0,0,0,1,1,0
To comply with Privacy Act,0,0,0,0,0,0,0,0,0
