row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total, all......................................................................................",3166,100.0,2388,100.0,158,100.0,620,100.0,84,100.0
"Certification issued, total.................................................................",1877,59.3,1560,65.3,26,16.5,291,46.9,46,54.8
After:,,,,,,,,,,
Consent election.....................................................................,75,2.4,65,2.7,6,3.8,4,0.6,3,3.6
Before notice of hearing........................................................,13,0.4,8,0.3,5,3.2,0,0.0,3,3.6
"After notice of hearing, before hearing closed……………..",61,1.9,56,2.3,1,0.6,4,0.6,0,0.0
"After hearing closed, before decision....................................",1,0.0,1,0.0,0,0.0,0,0.0,0,0.0
Stipulated election.......................................................................,1579,49.9,1312,54.9,15,9.5,252,40.6,35,41.7
Before notice of hearing........................................................,170,5.4,127,5.3,4,2.5,39,6.3,20,23.8
"After notice of hearing, before hearing closed......................",1392,44.0,1170,49.0,11,7.0,211,34.0,15,17.9
"After hearing closed, before decision..................................",17,0.5,15,0.6,0,0.0,2,0.3,0,0.0
Expedited election.......................................................................,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed election............................................,134,4.2,112,4.7,2,1.3,20,3.2,7,8.3
Board-directed election..............................................................,89,2.8,71,3.0,3,1.9,15,2.4,1,1.2
"By withdrawal, total.........................................................................",1157,36.5,782,32.7,101,63.9,274,44.2,33,39.3
Before notice of hearing..............................................................,249,7.9,87,3.6,69,43.7,93,15.0,20,23.8
"After notice of hearing, before hearing closed...........................",845,26.7,645,27.0,29,18.4,171,27.6,11,13.1
"After hearing closed, before decision.........................................",19,0.6,13,0.5,1,0.6,5,0.8,0,0.0
After Regional Director's decision and direction of election.....,28,0.9,22,0.9,2,1.3,4,0.6,2,2.4
After Board decision and direction of election..........................,16,0.5,15,0.6,0,0.0,1,0.2,0,0.0
"By dismissal, total............................................................................",132,4.2,46,1.9,31,19.6,55,8.9,5,6.0
Before notice of hearing............................................................,25,0.8,2,0.1,7,4.4,16,2.6,3,3.6
"After notice of hearing, before hearing closed...........................",64,2.0,16,0.7,17,10.8,31,5.0,2,2.4
"After hearing closed, before decision.........................................",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
By Regional Director's decision................................................,27,0.9,17,0.7,3,1.9,7,1.1,0,0.0
By Board decision......................................................................,16,0.5,11,0.5,4,2.5,1,0.2,0,0.0
