Industrial group,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Mining,571,362,217,56,27,13,2,47,199,178,11,10,2,,8
Mining,,,,,,,,,,,,,,,
Construction,2973,2417,680,622,553,318,18,126,543,458,53,31,7,3,3
Wholesale trade,2202,870,688,112,30,13,2,25,1259,1073,114,72,8,13,11
Retail trade,3043,1411,1067,195,51,44,20,34,1587,1257,235,95,18,4,23
"Finance, insurance, and real estate",188,75,71,1,1,,,2,108,94,13,1,1,1,3
"Transportation, communication, and other utilities",3198,1887,1310,417,102,28,12,27,1260,1129,79,52,5,11,35
Transportation,,,,,,,,,,,,,,,
Services,2005,1193,864,200,70,13,19,27,879,755,75,49,12,3,8
Services,,,,,,,,,,,,,,,
