row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total..........................................................",260,253,206,7,40,3
Initial hearings........................................................................,190,186,151,5,30,2
Hearings on objections and/or challenges..............................,70,67,55,2,10,1
"Decisions issued, total................................................................",194,186,140,13,33,10
By Regional Director.............................................................,185,177,134,12,31,10
Elections directed...............................................................,145,137,112,2,23,10
Dismissals on record..........................................................,40,40,22,10,8,0
By Board................................................................................,9,9,6,1,2,0
Transferred by Regional Directors for initial decision…..,2,2,2,0,0,0
Elections directed...........................................................,0,0,0,0,0,0
Dismissals on record......................................................,2,2,2,0,0,0
Other…………………………………………………..,0,0,0,0,0,0
Review of Regional Directors' decisions:,,,,,,
Requests for review received.............................................,110,101,74,15,12,1
Withdrawn before request ruled upon................................,6,5,3,1,1,0
"Board action on request ruled upon, total..........................",110,100,71,16,13,2
Granted...........................................................................,9,8,7,0,1,1
Denied............................................................................,97,88,63,15,10,1
Remanded.......................................................................,4,4,1,1,2,0
"Withdrawn after request granted, before Board review.....",2,2,1,0,1,0
"Board decision after review, total......................................",7,7,4,1,2,0
Regional Directors' decisions:,,,,,,
Affirmed.....................................................................,0,0,0,0,0,0
Modified.....................................................................,3,3,2,0,1,0
Reversed.....................................................................,4,4,2,1,1,0
Outcome:,,,,,,
Election directed........................................................,6,6,4,1,1,0
Dismissals on record..................................................,0,0,0,0,0,0
Other……………………………………..................,1,1,0,0,1,0
"Decisions on objections and/or challenges, total.......................",251,246,208,4,34,3
By Regional Directors............................................................,109,105,90,1,14,1
By Administrative Law Judges………………………..........,21,21,19,0,2,0
By Board................................................................................,121,120,99,3,18,2
In stipulated elections........................................................,106,105,85,3,17,2
No exceptions to Regional Directors' reports...............,63,62,50,1,11,0
Exceptions to Regional Directors' reports.....................,43,43,35,2,6,2
In directed elections (after transfer by Reg. Director).......,15,15,14,0,1,0
No exceptions to RDs/HOs reports……………………,9,9,9,0,0,0
Exceptions to RDs/HOs reports……………………….,6,6,5,0,1,0
Review of Regional Directors' supplemental decisions:… Request for review received...........................................,5,5,4,0,1,0
Withdrawn before request ruled upon................................,0,0,0,0,0,0
"Board action on request ruled upon, total..........................",3,3,3,0,0,0
,0,0,0,0,0,0
Granted........................................................................... Denied............................................................................,3,3,3,0,0,0
Remanded.......................................................................,0,0,0,0,0,0
"Withdrawn after request granted, before Board review.....",0,0,0,0,0,0
"Board decision after review, total......................................",,,,,,
,0,0,0,0,0,0
Regional Directors' decisions:,0,0,0,0,0,0
Affirmed.....................................................................,0,0,,,,0
Modified..................................................................... Reversed.....................................................................,0,0,0 0,0 0,0 0,0
