row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Circuit court of appeals decree ……..……….. Supreme Court action …………..…....………,247 1,0.8 0.0,39.7 0.2,237 1,1.0 0.0,9 0,0.2 ----,1 0,0.2 ----,0 0,,0 0,,0 0,,0 0,
Withdrawal……………………………..…………..,9641,32.4,100.0,7716,33.6,1643,28.1,191,33.5,3,1.8,46,76.7,9,18.4,33,41.3
Before issuance of complaint ………………...,9246,31.1,95.9,7372,32.1,1618,27.7,189,33.2,1,0.6,25,41.7,8,16.3,33,41.3
"After issuance of complaint, before opening of hearing……………...……………………..",355,1.2,3.7,305,1.3,24,0.4,2,0.4,2,1.2,21,35.0,1,2.0,0,
"After hearing opened, before administrative law judge's decision………………………",40,0.1,0.4,39,0.2,1,0.0,0,,0,,0,,0,,0,
"After administrative law judge's decision, before Board decision …………………....",0,,,0,,0,,0,,0,,0,,0,,0,
After Board or court decision………………..,0,,,0,,0,,0,,0,,0,,0,,0,
Dismissal……………………………………..…….,10157,34.2,100.0,6742,29.4,3188,54.5,175,30.7,5,3.0,5,8.3,21,42.9,21,26.3
Before issuance of complaint.……………….,9897,33.3,97.4,6587,28.7,3142,53.7,116,20.4,5,3.0,5,8.3,21,42.9,21,26.3
"After issuance of complaint, before opening of hearing……………..……………………..",200,0.7,2.0,101,0.4,40,0.7,59,10.4,0,,0,,0,,0,
"After hearing opened, before administrative law judge's decision……..……………….",4,0.0,0.0,4,0.0,0,,0,,0,,0,,0,,0,
By administrative law judge's decision ..........,2,0.0,0.0,2,0.0,0,,0,,0,,0,,0,,0,
By Board decision ...........................................,49,0.2,0.5,43,0.2,6,0.1,0,,0,,0,,0,,0,
Adopting administrative law judge's decision (no exceptions filed) ………..,38,0.1,0.4,34,0.1,4,0.1,0,,0,,0,,0,,0,
Contested………………………………..,11,0.0,0.1,9,0.0,2,0.0,0,,0,,0,,0,,0,
