row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total",988,959,835,16,108,7
Initial hearings,836,815,711,15,89,6
Hearings on objections and/or challenges,152,144,124,1,19,1
"Decisions issued, total",825,798,708,16,74,5
By Regional Directors,776,753,666,15,,5
Elections directed .,685,664,587,11,66,5
Dismissals on record,91,89,79,4,6,
By Board,49,45,42,1,2,0
Transferred by Regional Directors for initial de- cision,11,9,9,0,0,0
Elections directed,11,9,9,0,0,0
Dismissals on record,0,0,0,0,0,0
Review of Regional Directors' decisions,,,,,,
Requests for review received,353,329,304,7,18,1
Withdrawn before request ruled upon,23,21,19,2,0,0
"Board action on request ruled upon, total",277,260,240,4,16,1
Granted,48,40,36,1,3,
Denied,224,215,200,3,12,
Remanded,5,5,4,,1,
"Withdrawn after request granted, before Board review",2,2,2,0,0,0
"Board decision after review, total ..........",38,36,33,1,2,
Regional Directors' decisions,,,,,,
Affirmed,24,23,21,,,
Modified,4,4,3,,,
Reversed,10,9,9,,,
Outcome:,,,,,,
Election directed,31,30,28,0,2,0
Dismissals on record,7,6,5,,,0
