row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Under 10,3188,553,19.8,19.8,319,27.6,4,83,21,17.8,209,14.2
10 to 19,7352,521,18.7,38.5,228,19.8,16,333,16,13.6,261,17.7
20 to 29,7918,326,11.7,50.2,125,10.8,3,63,19,16.1,179,12.2
30 to 39,8911,260,9.3,593,102,8.8,4,83,12,10.2,142,9.6
40 to 49,7739,175,6.3,65.8,71,6.2,3,63,10,8.5,91,6.2
50 to 59,8380,154,5.5,71.3,62,5.4,2,4.1,9,7.6,81,53
60 to 69,6390,99,3.5,74.8,35,3.0,3,4.1,4,3.4,57,3.9
7010 79,5370,72,2.6,77.4,25,2.2,4,83,1,0.8,42,2.9
80 to 89,5881,70,2.5,79.9,26,23,1,2.1,2,1.7,41,2.8
90 to 99,6793,72,2.6,82.5,30,2.6,0,,5,4.2,37,2.5
100 to 109,6544,63,2.3,84.8,20,1.7,0,,4,3.4,39,2.6
110 to 119,4122,36,1.3,86.1,12,1.0,1,2.1,2,1.7,21,1.4
120 to 129,4962,40,1.4,87.5,7,0.6,0,,2,1.7,31,2.1
13010 139,3607,27,1.0,88.5,10,0.9,0,,2,1.7,15,1.0
14010 149,4479,31,1.1,89.6,11,1.0,0,,0,,20,1.4
150 to 159,3857,25,0.9,90.5,7,0.6,0,,3,2.6,15,1.0
160 to 169,4267,26,0.9,91.4,8,0.7,0,,1,0.8,17,1.2
17010 179,". 3,479",20,0.7,92.1,4,03,2,4.1,1,0.8,13,0.9
180 to 189,2582,14,0.5,92.6,• 5,0.4,0,,0,,9,0.6
190 to 199,3101,16,0.6,93.2,2,0.2,1,2.1,0,,13,0.9
200 to 299,19584,80,2.9,96.1,18,1.6,3,63,0,,59,4.0
300 to 399,11553,34,1.2,97.3,7,0.6,0,,3,2.6,24,1.6
40010 499,12101,27,1.0,983,10,0.9,0,,0,,17,1.2
500 to 599,10213,19,0.7,99.0,3,03,0,,0,,16,1.1
600 to 799,10999,16,0.6,99.6,4,03,1,2.1,0,,11,0.7
800 to 999,4475,5,0.1,99.8,0,,0,,0,,5,0.3
"1,000 to 1,999",11749,9,0.3,100.0,1.,0.0,0,,I,0.8,7,03
"2,000 to 2999","4,4661",2,0.0,100.0,2,0.2,0,,0,,• 0,
