row_label,Fiscal year 1969 / Number of proceedings / Total,Fiscal year 1969 / Number of proceedings / Vs. employers only,Fiscal year 1969 / Number of proceedings / Vs. unions only,Fiscal year 1969 / Number of proceedings / Vs. both employers and unions,Fiscal year 1969 / Number of proceedings / Board dismissed,Fiscal year 1969 / Percentages / Total,Fiscal year 1969 / Percentages / Vs. employers only,Fiscal year 1969 / Percentages / Vs. unions only,Fiscal year 1969 / Percentages / Vs. both employers and unions,Fiscal year 1969 / Percentages / Board dismissed,"July 5, 1935 - June 30, 1969 / July 5, 1935 - June 30, 1969 Number / Number","July 5, 1935 - June 30, 1969 / July 5, 1935 - June 30, 1969 Percent / Percent"
Proceedings decided by U.S. courts of appeals,380,316,44,10,10,100.0,,,,,,
On petitions for review and/or enforcements,363,305,44,10,4,100.0,100.0,100.0,100.0,100.0,4015,100.0
Board orders affirmed in full,208,161,29,8,10,52.8,74.3,88.9,100.0,,2329,58.0
Board orders affirmed with modification,85,78,5,0,,10.6,,,,,805,20.0
Remanded to Board,16,12,4,0,,4.4,3.9,10.3,,,165,4.1
Board orders partially affirmed and partially remanded,2,4,1,0,,1.3,1.3,,,,50,1.3
Board orders set aside,52,50,1,1,,16.4,2.6,11.1,,,666,16.6
On petitions for contempt,17,11,0,6,,100.0,100.0,,100.0,,,
"Compliance after filing of petition, before court order",9,6,2,1,,54.6,55.4,,60.0,,,
Court orders union/respondent in contempt,7,4,0,3,,40.5,36.4,,,,,
Court orders denying petition,1,1,0,0,,,,,,,,
Proceedings decided by U.S. Supreme Court,10,9,1,,,100.0,,100.0,,,180,100.0
Board orders affirmed in full,4,2,0,1,,22.2,33.3,,,,111,61.6
Board orders affirmed with modification,1,1,0,0,,,,,,,14,7.7
Remanded to Board,1,1,0,0,,11.1,,,,,28,11.5
Board orders set aside,4,5,1,,,,,,,,12,6.7
Board's request for remand or modification of enforcement order denied,,,,,,,,,,,1,0.5
Contempt cases remanded to courts of appeals,,,,,,,,,,,1,0.6
Contempt cases enforced,,,,,,,,,,,,
