row_label,col_1,col_2,col_3
Abrasive Co,"Mar. 14,1938","Mar. 22, 1938","1June 14, 1938"
"Acme Air Appliance Co., Inc","Mar. 10,1938","Mar. 15, 1938",(I)
Aeolian American Corporation,"Jan. 10, 1938","Jan. 14, 1938",
"Adolf Goebel, Inc","Aug. 13, 1937","Aug. 17, 1937",
Afro-American Co,"Feb. 28, 1938","Mar. 5, 1938",
"Aladdin Industries, Inc","Aug. 30, 1937","Oct. 13, 1937",(2)
Alaska Glacier Sea Food Co,"Mar. 16,1938","Mar. 18, 1838","'June 6, 1938"
"Alba Twine Mills, Inc","Feb. 7, 1938","Feb. 8,1938",a
"Alexandria, Barcroft Liz Washington Transit Co","Oct. 28,1937","Oct. 28, 1937",
Allen Manufacturing Co,"Sept. 27,1937","Oct. 2, 1937",
Altorfer Brothers Co,"July 29, 1937","Aug. 21,1937","Mar. 1, 1938"
American Can Co,"Jan. 27,1938","Jan. 27, 1938",
Do,"Mar. 1, 1938","Mar. 1, 1938",43))
American Chain dr Cable Co,"Apr. 18,1938","Apr. 21, 1938",
"American Cloak Co., Liberty Cloak and Annette Sport Co.",,,(I)
(bodies corporate),"Aug. 30,1937","Aug. 30,1937","Mar. 5, 1938"
American-Hawaiian Steamship Co,"Aug. 19, 1937","Aug. 19, 1937",(1)
Do,"Aug. 11, 1937","Aug. 12, 1937","Apr. 19, 1938"
"American Machine &Foundry Co., Inc","Feb. 14, 1938 Oct. 11,1937","Feb. 28,1938 Oct. 14, 1937","(1) May 23, 1938"
American Manufacturing Co,"Aug. 12,1937","Aug. 27, 1937","Feb. 18,1938"
Do American Manufacturing Concern,"Dec. 17,1937","Dec. 22, 1937","June 7,1938"
American Numbering Machine Co,"Feb. 3,1938","Feb. 14, 1938",
American Oil Co. (Curtis Bay plant),"Apr. 14, 1938","Apr. 21, 1938",
,"Sept. 20,1937","Oct. 8, 1937","June 24, 1938"
"Airierican Radiator Co., a corporation","June 27, 1938",,
American Rolling Mill Co,"May 2, 1938","May 5, 1938",(1)
American Scale Co American Smelting dr Refining Co,"Oct. 7,1937","Oct. 26, 1937","June 7,1938"
"Ainerican Paint Works, The (the Glldden Co.)","Feb. 14,1938","Feb. 22, 1938",(1)
Airierican Petroleum Co,"Sept. 13,1937","Sept. 29,1937",
AnderSon Mattress Co,"Apr. 21,1938","Apr. 27, 1938",
Andrew Jergen's Co. of California,"Jan. 11, 1938","Mar. 11,1938",
"Ann Arbor Press, The","May 2,1938","May 12, 1938",(2)
Ansley Radio Corporation,"Jan. 13, 1938","Jan. 26, 1938",(1)
Appalachian Mills,"Apr. 25,1938","May 7,1938",(1)
Apohaugh Manufacturing Co,"July 12, 1937","July 12,1937",(1)
"Arcade-Sunshine Co., Inc","Mar. 22,1938","Mar. 30, 1938",(1)
Arcadia Hosiery Co,"Apr. 11, 1938","Apr. 20,1938",(1)
Arma Ehgineering Co,"Jan. 31,1938","Feb. 14,1938",
Armour &Co,"Mar. 31,1938","Apr. 11,1938",'1 )
Do,"Feb. 7, 1938","Feb. 10, 1938",) 1
Do,do,do,
Do,do,do,
"Armour Packing Co., The","Feb. 21,1938","Mar. 10, 1938",
Aronsson Printing Co,"Jan. 27,1938","Feb. 8, 1938",
Art Crayon Co,"July 22,1937","July 27, 1937","May 11, 1938"
A. S. Abel Co,"Sept. 16,1937","Sept. 17,1937","Feb. 25, 1938"
Asheville Hosiery Co,"Jan. 11, 1938","Jan. 22,1938",(1)
Associated Press,"Dec. 6, 1937","Jan. 8, 1938","Jan. 29, 1938"
Athens Stove Works.,"May 5,1938","May 6, 1938",(1)
Atlantic Greyhound Corporation,"Dec. 6,1937","Dec. 7,1937","June 27, 1938"
Do,"Mar. 10,1938","Mar. 24,1938",(1) (2)
Atlas Powder Co,"June 23,1938","June 30,1938 Apr. 15, 1938",(1)
"Auburn Foundry, Inc Automatic Radio Manufacturing Co., Inc","Apr. 7, 1938","July 21, 1937",(1)
,"July 6, 1937",,
,"Feb. 28,1938","Mar. 9, 1938",
