row_label,col_1,col_2,col_3,col_4,col_5,col_6
"All types, total:",,,,,,
Elections.................................,3354,14,2885,0,452,3
Eligible voters........................,262673,350,214211,0,48071,41
Valid votes.............................,223199,291,183206,0,39667,35
RC cases:,,,,,,
Elections.................................,2894,13,2471,0,410,0
Eligible voters........................,233831,343,190411,0,43077,0
Valid votes.............................,199712,284,163139,0,36289,0
RMcases:,,,,,,
Elections................................,31,0,25,0,3,3
Eligible voters........................,1767,0,1292,0,434,41
Valid votes.............................,1604,0,1193,0,376,35
RD cases:,,,,,,
Elections.................................,380,1,355,0,24,0
Eligible voters........................,23592,7,20831,0,2754,0
Valid votes.............................,19658,7,17532,0,2119,0
UD cases:,,,,,,
Elections.................................,49,0,34,0,15,
Eligible voters........................,3483,0,1677,0,1806,
Valid votes.............................,2225,0,1342,0,883,
