row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 1992","*18,720",11873,1.006,937,4904,
Received fiscal 1993,24500,15847,934,971,6748,
On docket fiscal 1993,43220,27720,1940,1908,11652,
Closed fiscal 1993,23537,14954,914,929,6740,
"Pending September 30, 1993",19683,12766,1026,979,4912,
,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases
"Pending October 1, 1992","*3,947",64,3,29,3131,720
Received fiscal 1993,8074,36,4,24,6806,1204
On docket fiscal 1993,12021,100,7,53,9937,1924
Closed fiscal 1993,7996,45,4,23,6790,1134
"Pending September 30, 1993..",4025,55,3,30,3147,790
,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases
"Pending October 1, 1992",*655,2,12,7,,634
Received fiscal 1993,750,3,6,15,,726
On docket fiscal 1993,1405,5,18,22,,1360
Closed fiscal 1993,861,4,18,10,,829
"Pending September 30, 1993",544,,,12,,531
,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases
"Pending October 1, 1992",•132,3,6,1,,122
Received fiscal 1993,211,10,,2,,199
On docket fiscal 1993,343,13,6,3,,321
Closed fiscal 1993,217,10,6,2,,199
"Pending September 30, 1993 .",126,3,,1,,122
,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases
"Pending October I, 1992 .",43,2,,3,3,35
Received fiscal 1993 .,53,3,,5,3,42
On docket fiscal 1993,96,5,,8,6,77
Closed fiscal 1993,46,3,,4,4,35
"Pending September 30, 1993",50,2,,4,2,42
,CO cases,CO cases,CO cases,CO cases,CO cases,CO cases
"Pending October 1, 1992",20,,,,,20
Received fiscal 1993,38,,,,,37
On docket fiscal 1993,58,,,,,57
Closed fiscal 1993,38,,,,,37
,CP cases,CP cases,CP cases,CP cases,CP cases,CP cases
"Pending October 1, 1992",*93,1,2,1,,89
Received fiscal 1993 ...........,118,2,4,1,,111
On docket fiscal 1993,211,3,6,2,,200
Closed fiscal 1993,160,1,6,1,,152
"Pending September 30, 1993",51,2,,,,as
