row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Illinois.......................................................,33,9,9,0,0,24,1988,1607,741,738,3,0,866,906
Indiana.......................................................,7,1,1,0,0,6,147,136,50,50,0,0,86,45
Michigan...................................................,23,4,4,0,0,19,1256,1082,601,544,0,57,481,703
Ohio...........................................................,20,8,8,0,0,12,599,546,272,272,0,0,274,337
Wisconsin..................................................,9,3,3,0,0,6,335,305,128,128,0,0,177,75
East North Central................................,92,25,25,0,0,67,4325,3676,1792,1732,3,57,1884,2066
Alabama....................................................,6,2,2,0,0,4,265,252,112,99,0,13,140,18
Kentucky...................................................,8,2,2,0,0,6,920,749,327,327,0,0,422,52
Mississippi................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee..................................................,5,0,0,0,0,5,212,195,80,80,0,0,115,0
East South Central................................,19,4,4,0,0,15,1397,1196,519,506,0,13,677,70
New Jersey................................................,9,5,5,0,0,4,655,473,230,230,0,0,243,546
New York..................................................,22,7,6,0,1,15,1538,1215,628,555,0,73,587,845
Pennsylvania.............................................,22,7,7,0,0,15,1304,1140,668,629,39,0,472,786
Middle Atlantic....................................,53,19,18,0,1,34,3497,2828,1526,1414,39,73,1302,2177
Arizona......................................................,1,0,0,0,0,1,12,12,6,6,0,0,6,0
Colorado....................................................,7,1,1,0,0,6,435,393,142,142,0,0,251,20
Idaho..........................................................,2,0,0,0,0,2,96,82,8,8,0,0,74,0
Montana....................................................,3,0,0,0,0,3,162,127,35,35,0,0,92,0
Nevada......................................................,7,4,4,0,0,3,239,218,116,116,0,0,102,161
New Mexico..............................................,1,1,1,0,0,0,174,169,106,106,0,0,63,174
Utah...........................................................,1,1,0,1,0,0,91,87,51,0,51,0,36,91
Wyoming..................................................,2,1,1,0,0,1,261,231,123,123,0,0,108,109
Mountain..............................................,24,8,7,1,0,16,1470,1319,587,536,51,0,732,555
