row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total, all",7807,100 0,5566,1000,573,1000,1668,1000,228,1000
"Certification issued, total",4923,63 1,3748,67 3,245,42 8,930,55 8,123,53 9
After,,,,,,,,,,
Consent election,134,1 7,84,1 5,12,2 1,38,23,7,3 1
Before notice of hearing,49,0 6,31,0 6,8,1 4,10,06,7,31
"After notice of heanng, before hearing closed",83,1 1,51,09,4,0 7,28,1 7,0,00
"After hearing closed, before decision",2,00,2,00,0,00,0,00,0,00
Stipulated election,3930,503,2998,539,180,31 4,752,451,84,368
Before notice of hearing,1239,159,796,143,87,152,356,21 3,74,325
"After notice of hearing, before hearing closed",2674,343,2190,393,91,159,393,236,10,44
"After hearing closed, before decision",17,02,12,02,2,03,3,02,0,00
Expedited election,5,0 1,1,00,3,0 5,1,0 1,0,00
Regional Director-directed election,827,106,647,11 6,50,87,130,78,31,136
Board-directed election,27,03,18,03,0,00,9,05,1,04
"By withdrawal, total",2158,276,1461,262,214,373,483,290,80,35 1
Before notice of hearing,884,II 3,449,8 I,137,239,298,179,71,311
"After notice of hearing, before heanng closed",1069,137,834,150,71,124,164,98,7,3 1
"After hearing closed, before decision",48,06,41,07,2,03,5,03,1,04
After Regional Director's decision and direction of election,157,20,137,25,4,07,16,10,1,04
After Board decision and direction of election,0,00,0,00,0,00,0,00,0,00
"By dismissal, total",726,93,357,64,114,199,255,153,25,11 0
Before notice of hearing,266,34,54,10,60,105,152,9 1,19,83
"After notice of hearing, before hearing closed",119,1 5,38,0 7,19,3 3,62,3 7,2,09
"After hearing closed, before decision",8,01,7,01,1,02,0,00,0,00
By Regional Director's decision,184,24,138,25,20,3 5,26,1 6,2,09
By Board decision,149,19,120,22,14,24,15,09,2,09
