row_label,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
RC cases,,,,,,
"Pending October 1, 1994",1975,1727,83,165,0,
Received fiscal 1995,4320,3830,161,329,0,
On docket fiscal 1995,6295,5557,244,494,0,
Closed fiscal 1995,4571,4076,169,326,0,
"Pending September 30, 1995",1724,1481,75,168,0,
RM cases,,,,,,
"Pending October 1, 1994",103,,,,,103
Received fiscal 1995,174,,,,,174
On docket fiscal 1995,277,,,,,277
Closed fiscal 1995,185,,,,,185
"Pending September 30, 1995",92,,,,,92
RD cases,,,,,,
"Pending October 1, 1994",455,2,0,2,451,0
Received fiscal 1995,971,0,0,0,971,0
On docket fiscal 1995,1426,0,0,2,1422,0
Closed fiscal 1995,1030,0,0,0,1030,0
"Pending September 30, 1995",396,2,0,2,392,0
