row_label,Number of cases / Total,Number of cases / Identification of complainant or petitioner / AFL affiliates 1,Number of cases / Identification of complainant or petitioner / CIO affiliates 1,Number of cases / Identification of complainant or petitioner / AFL-CIO affiliates 2,Number of cases / Identification of complainant or petitioner / Unaffiliated unions,Number of cases / Identification of complainant or petitioner / Individuals,Number of cases / Identification of complainant or petitioner / Employers
All cases 3,,,,,,,
"Pending July 1, 1955",4114,1542,758,,191,1232,391
Received fiscal 1956,13388,2833,1216,4638,754,2525,1422
On docket fiscal 1956,17502,4375,1974,6536,945,3757,1813
Closed fiscal 1956,13734,3122,1329,4403,759,2759,1362
"Pending June 30, 1956",3768,,,2133,186,998,451
Unfair labor practice cases,,,,,,,
"Pending July 1, 1955",2672,733,418,,89,1147,285
Received fiscal 1956,5265,692,304,1170,167,2105,827
On docket fiscal 1956,7937,1425,722,2132,256,3252,1112
Closed fiscal 1956,5619,827,358,1165,184,2325,760
"Pending June 30, 1956",2318,,,967,72,927,352
Representation cases,,,,,,,
"Pending July 1, 1955",1438,809,339,,102,82,106
Received fiscal 1956,8076,2141,912,3467,587,374,595
On docket fiscal 1956,9514,2950,1251,4402,689,456,701
Closed fiscal 1956,8070,2295,971,3236,575,391,602
"Pending June 30, 1956",1444,,,1166,114,65,99
Union-shop deauthorization cases,,,,,,,
"Pending July 1, 1955",4,0,1,,0,3,0
Received fiscal 1956,47,0,0,1,0,46,0
On docket fiscal 1956,51,0,1,2,0,49,0
Closed fiscal 1956,45,0,0,2,0,43,0
"Pending June 30, 1956",6,,,0,0,6,0
