row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Administrative and Support Services........,139,100,42,39,19,39,5758,4524,3145,1035,1207,903,1379,4610
Waste Management and Remediation Services....................................................,101,45,42,2,1,56,4762,4249,1984,1847,31,106,2265,1825
"Administrative and Support, Waste Management and Remediation Services..",240,145,84,41,20,95,10520,8773,5129,2882,1238,1009,3644,6435
Educational Services............................,71,54,44,4,6,17,6555,5585,2931,2532,78,321,2654,2921
Ambulatory Health Care Services............,39,19,19,0,0,20,3622,2701,1571,1556,0,15,1130,2371
Hospitals....................................................,178,125,93,9,23,53,26456,21640,12865,9409,779,2677,8775,15123
Nursing and Residential Care Facilities....,194,138,128,7,3,56,14290,11573,7137,6943,143,51,4436,9381
Social Assistance......................................,59,34,30,2,2,25,4407,2741,1659,1578,0,81,1082,3250
Health Care and Social Assistance......,470,316,270,18,28,154,48775,38655,23232,19486,922,2824,15423,30125
"Performing Arts, Spectator Sports and Related Industries......................................",20,12,12,0,0,8,1122,730,470,464,0,6,260,823
"Museums, Historical Sites and Similar Institutions................................................",3,3,2,0,1,0,140,119,68,65,0,3,51,140
"Amusement, Gambling and Recreation Industries..................................................",19,6,6,0,0,13,1595,1250,575,418,140,17,675,771
"Arts, Entertainment and Recreation....",42,21,20,0,1,21,2857,2099,1113,947,140,26,986,1734
Accommodation........................................,40,14,14,0,0,26,3238,2737,1066,668,0,398,1671,520
Foodservices and Drinking Places............,33,20,19,1,0,13,1355,1184,673,565,108,0,511,724
Accommodation and Foodservices......,73,34,33,1,0,39,4593,3921,1739,1233,108,398,2182,1244
Repair and Maintenance............................,32,24,24,0,0,8,873,804,529,527,0,2,275,767
Personal and Laundry Services................,44,20,18,0,2,24,2029,1828,854,785,7,62,974,723
"Religious, Grantmaking, Civic, and Professional and Similar Organizations....",27,22,21,0,1,5,1026,924,654,647,0,7,270,924
Other Services (except Public Administration)........................................,103,66,63,0,3,37,3928,3556,2037,1959,7,71,1519,2414
