row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Mountain…………………………,137,72,69,1,2,65,8883,7722,3988,3937,30,21,3734,4479
Washington…………………………….,101,55,54,0,1,46,5018,4363,2368,2071,5,292,1995,2919
Oregon………………………………….,42,25,20,2,3,17,2227,1842,1010,821,94,95,832,1674
California……………………………….,318,169,160,2,7,149,20237,17275,8815,8260,189,366,8460,9718
Alaska…………………………………..,25,10,9,0,1,15,1257,1026,508,401,0,107,518,439
Hawaii…………………………………..,33,17,16,0,1,16,1736,1393,642,639,0,3,751,859
Guam……………………………………,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific……………………………,519,276,259,4,13,243,30475,25899,13343,12192,288,863,12556,15609
PuertoRico………………………………,52,27,6,0,21,25,2209,1835,874,157,0,717,961,688
VirginIsland……………………………,5,4,4,0,0,1,273,206,75,29,0,46,131,53
OutlyingAreas……………………,57,31,10,0,21,26,2482,2041,949,186,0,763,1092,741
"Total, all States and areas ………...",3162,1676,1477,41,158,1486,223239,194094,98986,87134,2444,9408,95108,104045
