row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
Total all circuits…………,118,552,74,62.7,384,69.6,10,8.5,55,10.0,15,12.7,22,4.0,7,5.9,33 6.0,12,10.2,58,10.5
"Boston, MA…………....",6,20,4,66.7,17,85.0,1,16.7,0,0.0,0,0.0,0,0.0 1,,16.7,1 5.0,0,0.0,2,10.0
"New York, NY ……......",13,37,11,84.6,25,67.6,0,0.0,3,8.1,1,7.7,2,5.4 1,7.7,,2 5.4,0,0.0,5,13.5
"Philadelphia, PA ……...",7,38,6,85.7,32,84.2,1,14.3,2,5.3,0,0.0,0,0.0,0,0.0,1 2.6,0,0.0,3,7.9
"Richmond, VA ……......",15,42,11,73.3,19,45.2,2,13.3,7,16.7,1,6.7,0,0.0,0,0.0,5 11.9,1,6.7,11,26.2
"New Orleans, LA ……..",4,17,1,25.0,13,76.5,2,50.0,0,0.0,0,0.00,0,0.0 0,0.0,1,5.9,1,25.0,3,17.6
"Cincinnati, OH………...",9,118,2,22.2,84,71.2,1,11.1,15,12.7,1.,11.1,3,2.5,2,22.2,4 3.4,3,33.3,12,10.2
"Chicago, IL…………….",9,39,6,66.7,25,64.1,1,11.1,3,7.7,1,11.1,2,5.1,0,0.0,3 7.7,1,11.1,6,15.4
"St. Louis,MO………….",6,24,4,66.7,19,79.2,0,0.0,2,8.3,1,16.7,2,8.3,0 0.0,1,4.2,1,16.7,0,0.0
"San Francisco, CA …….",6,45,4,66.7,38,84.4,0,0.0,4,8.9,1,16.7,0,0.0,1 16.7,2,4.4,0,0.0,1,2.2
"Denver, CO ……...……",3,18,3,100.0,12,66.7,0,0.0,1,5.6,0,0.0,0,0.0,0,0.0,4 22.2,0,0.0,1,5.6
"Atlanta,GA……………",6,26,4,66.7,22,84.6,0,0.0,1,3.8,1,16.7,0,0.0,0,0.0,0 0.0,1,16.7,3,11.5
"Washington,DC……….",34,128,18,52.9,78,60.9,2,5.9,17,13.3,8,23.5,13,10.2,2,5.9,9 7.0,4,11.8,11,8.6
