row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 2007.............",9975,4255,3131,376,2185,28
Received fiscal 2008...................,16179,5941,5265,586,4363,24
On docket fiscal 2008..................,26154,10196,8396,962,6548,52
Closed fiscal 2008.......................,17081,6461,5567,542,4476,35
"Pending September 30, 2008.......",9073,3735,2829,420,2072,17
,CB Cases,CB Cases,CB Cases,CB Cases,CB Cases,CB Cases
"Pending October 1, 2007.............",1835,10,21,9,1588,207
Received fiscal 2008...................,5670,36,33,6,5154,441
On docket fiscal 2008..................,7505,46,54,15,6742,648
Closed fiscal 2008.......................,5751,32,34,10,5182,493
"Pending September 30, 2008.......",1754,14,20,5,1560,155
,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases
"Pending October 1, 2007.............",284,0,7,0,12,265
Received fiscal 2008...................,361,4,7,2,31,317
On docket fiscal 2008..................,645,4,14,2,43,582
Closed fiscal 2008.......................,322,3,14,1,28,276
"Pending September 30, 2008.......",323,1,0,1,15,306
,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases
"Pending October 1, 2007.............",30,3,0,0,4,23
Received fiscal 2008...................,127,8,4,2,10,103
On docket fiscal 2008..................,157,11,4,2,14,126
Closed fiscal 2008.......................,120,8,3,2,9,98
"Pending September 30, 2008.......",37,3,1,0,5,28
,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases
"Pending October 1, 2007.............",30,0,1,2,1,26
Received fiscal 2008...................,63,1,1,1,2,58
On docket fiscal 2008..................,93,1,2,3,3,84
Closed fiscal 2008.......................,37,1,2,3,2,29
"Pending September 30, 2008.......",56,0,0,0,1,55
,CG Cases,CG Cases,CG Cases,CG Cases,CG Cases,CG Cases
"Pending October 1, 2007.............",10,0,0,0,1,9
Received fiscal 2008...................,43,0,0,0,2,41
On docket fiscal 2008..................,53,0,0,0,3,50
Closed fiscal 2008.......................,35,0,0,0,2,33
"Pending September 30, 2008.......",18,0,0,0,1,17
,CP Cases,CP Cases,CP Cases,CP Cases,CP Cases,CP Cases
"Pending October 1, 2007.............",27,0,0,0,2,25
Received fiscal 2008...................,54,0,2,0,4,48
On docket fiscal 2008..................,81,0,2,0,6,73
Closed fiscal 2008.......................,45,0,1,0,3,41
"Pending September 30, 2008.......",36,0,1,0,3,32
