row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Connecticut..............................................,43,25,23,2,0,18,2012,1777,1025,871,154,0,752,1311
Maine........................................................,6,1,1,0,0,5,297,262,84,84,0,0,178,20
Massachusetts............................................,72,51,46,3,2,21,3837,3529,2008,1892,82,34,1521,2589
New Hampshire........................................,8,4,4,0,0,4,302,265,127,127,0,0,138,130
Rhode Island............................................,9,5,4,0,1,4,315,290,130,108,0,22,160,93
Vermont....................................................,5,4,3,1,0,1,294,243,147,133,14,0,96,260
New England........................................,143,90,81,6,3,53,7057,6366,3521,3215,250,56,2845,4403
Puerto Rico................................................,47,27,20,2,5,20,2295,1941,1051,764,88,199,890,1035
Virgin Islands............................................,10,9,3,0,6,1,477,393,360,117,0,243,33,470
Outlying Areas....................................,57,36,23,2,11,21,2772,2334,1411,881,88,442,923,1505
Alaska........................................................,17,11,11,0,0,6,320,268,132,132,0,0,136,97
American Samoa......................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California..................................................,306,167,150,7,10,139,22335,19819,11175,8904,638,1633,8644,12763
Federated States of Micronesia................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam........................................................,1,1,1,0,0,0,908,750,398,398,0,0,352,908
Hawaii......................................................,29,18,14,4,0,11,1088,936,563,451,112,0,373,713
Marshall Islands........................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands..........................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon......................................................,60,36,33,3,0,24,3278,2959,1724,1609,89,26,1235,2003
Palau..........................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington..............................................,94,54,48,5,1,40,6124,5054,2734,2635,86,13,2320,3652
Pacific..................................................,507,287,257,19,11,220,34053,29786,16726,14129,925,1672,13060,20136
