row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
Total all circuits,73,503,56,76.7,347,69.0,8,11.0,33,6.6,1,1.4,41,8.2,6 8.2,,22 4.4,2,2.7,60,11.9
"Boston, MA……..",2,11,2,100.0,7,63.6,0,0.0,1,9.1,0,0.0,0,0.0 0,0.0,,1 9.1,0,0.0,2,18.2
"New York, NY….",3,32,2,66.7,27,84.4,1,33.3,1,3.1,0,0.0,2,6.3 0,0.0,,1 3.1,0,0.0,1,3.1
"Philadelphia, PA..",5,33,4,80.0,26,78.8,1,20.0,2,6.1,0,0.0,1,3.0,0 0.0,,1 3.0,0,0.0,3,9.1
"Richmond, VA….",12,42,7,58.3,29,69.0,1,8.3,4,9.5,1,8.3,4,9.5,2,16.7,1 2.4,1,8.3,4,9.5
"New Orleans, LA.",4,25,4,100.0,16,64.0,0,0.0,5,20.0,0,0.0,0,0.0 0,0.0,0,0.0,0,0.0,4,16.0
"Cincinnati, OH…..",12,78,11,91.7,54,69.2,1,8.3,6,7.7,0,0.0,3,3.8,0,0.0,5 6.4,0,0.0,10,12.8
"Chicago, IL……...",4,45,3,75.0,32,71.1,0,0.0,3,6.7,0,0.0,2,4.4 1,,25.0,4 8.9,0,0.0,4,8.9
"St. Louis, MO…...",8,27,5,62.5,19,70.4,2,25.0,1,3.7,0,0.0,3,11.1,1 12.5,0,0.0,0,0.0,4,14.8
"San Francisco, CA",3,25,3,100.0,19,76.0,0,0.0,0,0.0,0,0.0,2,8.0,0 0.0,2,8.0,0,0.0,2,8.0
"Denver, CO…..…",3,16,2,66.7,12,75.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0 0.0,0,0.0,4,25.0
"Atlanta, GA..……",4,18,3,75.0,15,83.3,0,0.0,0,0.0,0,0.0,1,5.6,0,0.0,0 0.0,1,25.0,2,11.1
"Washington, DC...",13,151,10,76.9,91,60.3,1,7.7,10,6.6,0,0.0,23,15.2,2 15.4,7,4.6,0,0.0,20,13.2
