row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All representation elections.............................................,102,43,59,52,88.1,7,11.9
By type of case:,,,,,,,
RC cases................................................................,89,38,51,46,90.2,5,9.8
RMcases................................................................,2,0,2,1,50.0,1,50.0
RD cases................................................................,11,5,6,5,83.3,1,16.7
By type of election:,,,,,,,
Consent elections....................................................,0,0,0,0,0.0,0,0.0
Stipulated elections................................................,52,39,13,12,92.3,1,7.7
Expedited elections................................................,0,0,0,0,0.0,0,0.0
Regional Director-directed elections......................,50,4,46,40,87.0,6,13.0
Board-directed elections........................................,0,0,0,0,0.0,0,0.0
