Stage and method,All C cases — Number of cases,All C cases — Percent of cases closed,NLRA C cases — Number of cases,NLRA C cases — Percent of cases closed,LMRA CA cases — Number of cases,LMRA CA cases — Percent of cases closed,LMRA other C cases — Number of cases,LMRA other C cases — Percent of cases closed
Total number of cases closed,4664,100.0,337,100.0,3380,100.0,947,100.0
"Before formal action, total",4199,90.0,132,39.2,3186,94.3,881,93.0
Before formal action — Adjusted,951,20.4,34,10.1,778,23.0,139,14.7
Before formal action — Withdrawn,2151,46.1,26,7.7,1625,48.1,500,52.8
Before formal action — Dismissed,1086,23.3,72,21.4,781,23.1,233,24.6
Before formal action — Closed otherwise,11,.2,0,0,2,.1,9,.9
"After formal action, total",465,10.0,205,60.8,194,5.7,66,7.0
After formal action — Before hearing — total,106,2.3,9,2.7,69,2.0,28,3.0
After formal action — Before hearing — Adjusted,62,1.4,6,1.8,44,1.3,12,1.4
After formal action — Before hearing — Withdrawn,24,.5,0,0,11,.3,13,1.4
After formal action — Before hearing — Dismissed,20,.4,3,.9,14,.4,3,.3
After formal action — After hearing — total,57,1.2,21,6.2,23,.7,13,1.3
After formal action — After hearing — Adjusted,20,.4,10,3.0,6,.2,4,.4
After formal action — After hearing — Compliance with intermediate report,15,.3,10,3.0,5,.2,0,0
After formal action — After hearing — Withdrawn,10,.2,0,0,3,.1,7,.7
After formal action — After hearing — Dismissed,12,.3,1,.2,9,.3,2,.2
After formal action — After Board decision — total,156,3.4,110,32.6,35,1.0,11,1.2
After formal action — After Board decision — Compliance,77,1.7,61,18.1,13,.4,3,.3
After formal action — After Board decision — Dismissed,64,1.4,34,10.1,22,.6,8,.9
After formal action — After Board decision,15,.3,15,4.4,0,0,0,0
After formal action — After court action — total,146,3.1,65,19.3,67,2.0,14,1.5
After formal action — After court action — Compliance with consent decree,103,2.2,22,6.5,67,2.0,14,1.5
After formal action — After court action — Compliance with court order,31,.7,31,9.2,0,0,0,0
After formal action — After court action — Dismissed,8,.2,8,2.4,0,0,0,0
After formal action — After court action — Closed otherwise,4,.1,4,1.2,0,0,0,0
