row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Plastics and Rubber Products Manufacturing..........,316,270,224,43,1,1,0,0,1,46,33,0,13,0,0,0
Nonmetallic Mineral Product Manufacturing........,352,295,237,50,6,2,0,0,0,51,33,2,16,5,0,1
32-Manufacturing..............................................,1961,1686,1369,293,14,5,3,0,2,262,192,5,65,9,0,4
Primary Metal Manufacturing................................,638,585,433,149,2,0,1,0,0,51,33,3,15,1,0,1
Fabricated Metal Product Manufacturing................,553,485,390,93,2,0,0,0,0,63,46,1,16,3,0,2
Machinery Manufacturing......................................,476,432,317,107,4,1,1,0,2,43,30,2,11,0,0,1
Computer and Electronic Product Manufacturing..,127,114,81,32,0,1,0,0,0,10,8,0,2,0,0,3
"Electrical Equipment, Appliance and Component Manufacturing........................................................",327,310,218,87,2,2,0,0,1,15,9,0,6,1,0,1
Transportation Equipment Manufacturing..............,1366,1248,798,442,6,0,2,0,0,106,84,2,20,7,0,5
Furniture and Related Product Manufacturing........,136,113,89,22,2,0,0,0,0,23,19,0,4,0,0,0
Miscellaneous Manufacturing................................,672,584,436,140,5,3,0,0,0,84,63,5,16,1,0,3
33-Manufacturing..............................................,4295,3871,2762,1072,23,7,4,0,3,395,292,13,90,13,0,16
"Wholesale Trade, Durable Goods............................",283,219,181,35,1,1,0,0,1,62,47,4,11,0,0,2
"Wholesale Trade, Nondurable Goods......................",558,461,363,90,4,2,0,0,2,92,67,6,19,1,0,4
Wholesale Trade................................................,841,680,544,125,5,3,0,0,3,154,114,10,30,1,0,6
Motor Vehicle and Parts Dealers............................,367,259,222,24,9,2,1,0,1,107,87,6,14,1,0,0
Furniture and Home Furnishings Stores..................,54,41,34,7,0,0,0,0,0,12,6,1,5,1,0,0
Electronics and Appliance Stores............................,19,15,14,1,0,0,0,0,0,4,4,0,0,0,0,0
Building Material and Garden Equipment and Supplies Dealers......................................................,49,34,29,4,1,0,0,0,0,14,9,1,4,1,0,0
Food and Beverage Stores......................................,837,712,544,167,1,0,0,0,0,123,103,1,19,0,0,2
Health and Personal Care Stores............................,78,60,49,11,0,0,0,0,0,18,16,0,2,0,0,0
Gasoline Stations....................................................,21,13,10,3,0,0,0,0,0,7,5,0,2,0,0,1
Clothing and Clothing Accessories Stores..............,48,44,32,12,0,0,0,0,0,4,3,0,1,0,0,0
44-Retail Trade..................................................,1473,1178,934,229,11,2,1,0,1,289,233,9,47,3,0,3
"Sporting Goods, Hobby, Book and Music Stores....",32,24,21,3,0,0,0,0,0,7,5,0,2,1,0,0
,,,,,,,,,,,,,,,,1
General Merchandise Stores....................................,259,228,198,28,1,1,0,0,0,30,23,0,7,0,0,
