row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total",952,916,800,20,96,3
Initial hearings,782,752,657,19,76,1
Hearings on objections and/or challenges,170,164,143,1,20,2
"Decisions issued, total",793,761,665,19,77,
By Regional Directors,736,710,619,17,74,
Elections directed,649,625,551,11,63,
Dismissals on record,87,85,68,6,11,
By Board,57,51,46,2,3,0
Transferred by Regional Directors for initial deci- sion .......,3,3,3,0,0,
Elections directed,2,2,2,0,0,0
Dismissals on record,1,1,1,0,0,0
Review of Regional Directors' decisions:,,,,,,
Requests for review received,333,320,291,7,22,0
Withdrawn before request ruled upon .,18,18,17,0,1,0
"Board action on request ruled upon, total",293,283,263,6,14,
Granted,44,44,ao,3,1,
Denied,231,221,207,3,11,
Remanded,18,18,16,,2,
"Withdrawn after request granted, before Board review",1,1,1,0,0,0
"Board decision after review, total",54,48,43,2,3,0
Regional Directors' decisions.,,,,,,
Affirmed,13,13,11,,,
Modified,14,14,12,,,
,27,21,20,,,
Outcome:,,,,,,
Election directed,45,45,41,2,2,0
Dismissals on record ....... .......,9,3,2,0,1,0
