Formal action,All cases / Number,All cases / Percent increase compared with 1942,Unfair labor practice cases / Number,Unfair labor practice cases / Percent increase compared with 1942,Representation cases / Number,Representation cases / Percent increase compared with 1942
Complaints issued,400,11.4,400,11.4,,
Notices of Hearing issued,1326,31.2,,,1326,31.2
Cases heard,1836,27.6,365,29.4,1471,27.1
Intermediate Reports or proposed findings issued,261,29.9,261,29.9,,
Decisions issued,1766,42.5,405,40.6,1361,43.1
Decisions and Orders,265,47.2,265,47.2,,
Decisions and Consent Orders,140,29.6,140,29.6,,
Elections directed,1041,57.3,,,1041,57.3
Certifications or dismissals after stipulated elections,237,14.5,,,237,14.5
Certifications or dismissals on record,83,1.2,,,83,1.2
