Standard Federal Regions / State,All cases,Unfair labor practice cases — All C cases,CA,CB,CC,CD,CE,CG,CP,Representation cases — All R cases,RC,RM,RD,Union deauthorization cases UD,Amendment of certification cases AC,Unit clarification cases UC
Region IV — subtotal (Sunbelt DHHS: SC + TN + ... institutional 8-state cluster),4260,3607,2817,704,57,11,2,9,7,635,492,13,132,1,2,15
Region V — subtotal (Midwest industrial-heartland IL + IN + MI + MN + OH + WI),10742,8610,5999,2096,345,92,10,2,66,1967,1369,133,465,60,6,99
Region VI — subtotal (AR + LA + NM + OK + TX),2201,1911,1346,516,30,10,5,2,2,309,216,18,75,0,0,10
Region VII — subtotal (Iowa + Kansas + Missouri + Nebraska),1763,1382,965,313,68,17,2,1,16,364,243,27,94,7,0,10
Per-state Region IV+V+VI+VII+VIII,,,,,,,,,,,,,,,,
