row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
Total,6050,100.0,2750,100.0,1114,100.0,486,100 0,1700,100.0
1-9,1168,22 6,842,30 6,135,12.1,72,14.8,319,18.8
10-19,1104,18.2,538,19.6,169,15.2,85,17.5,312,18.4
20-29,648,10.7,305,111,118,10.6,52,10.7,173,10.2
30-39,438,7.2,161,5 9,97,8.7,34,7.0,146,8.6
40-49,326,"5.,4",133,4.8,74,6 7,17,3 5,102,6 0
50-59,261,4.3,92,3 4,55,4 9,24,4.0,90,5.3
60-69,189,3.1,71,2.6,45,4.0,11,2 3,62,3 6
70-79,' 162,2.7,59,2.2,42,3 8,10,2.1,51,3.0
80-89,122,2.0,45,1 6,20,1.8,12,2.5,45,2 6
90-99,102,1.7,37,1.4,21,1 9,12,2.5,32,1.9
100-149,388,6.4,139,5 1,85,7 6,39,8 0,125,7.4
150-199,215,3.6,77,2 8,46,4.1,24,4.9,68,4.0
200-299,251,4.2,81,2.9,78,7.0,25,5 1,67,3.9
300-399,139,2.3,58,2.1,30,2.7,12,2.5,39,2.3
400-499,82,1.4,25,.9,27,2.4,9,1.9,21,1.2
500-599,49,.8,15,. 5,14,1.3,9,1.9,11,.6
600-799,48,.8,13,. 5,14,1.3,6,1.2,15,.9
800-999,31,.5,14,.5,8,.7,6,1.2,3,.2
"1,000-1,999",80,1.3,26,.9,18,1 6,20,4 1,16,.9
"2,000-2,999",19,.3,8,.3,5,.4,4,.8,2,.1
"3,000-3,999",13,.2,6,.2,6,.5,1,2,0,.0
"4,000-4,999",7,. 1,3,.1,2,. 2,2,.4,0,• 0
"5,000-9,999",5,.1,1,(I),3,.3,• 0,.0,1,.1
"10,000-15,000",3,. 1,1,(I),2,. 2,0,.0,0,.0
