Standard Federal regions / State,All cases,Unfair labor practice cases — All C,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CP,Representation cases — All R,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-shop Deauthorization cases — UD,Amendment-of-Certification cases — AC,Unit-Clarification cases — UC
Connecticut,432,255,169,60,11,9,0,6,168,147,6,15,1,0,0
Maine,116,68,47,17,1,1,0,2,47,42,1,4,1,0,0
Massachusetts,1165,786,472,187,84,33,0,10,357,326,15,16,5,0,16
New Hampshire,96,48,36,7,2,0,0,0,48,45,0,3,0,0,0
Rhode Island,149,93,67,23,1,0,0,1,54,44,4,6,2,0,0
Vermont,26,17,16,1,0,0,0,0,9,9,0,0,0,0,0
Region I — Total,1984,1277,777,304,126,49,2,17,673,600,34,39,8,3,25
Delaware,88,49,28,20,0,0,0,1,38,31,3,4,1,0,0
New Jersey,1638,989,601,272,69,23,2,22,619,550,28,41,22,2,6
New York,3533,2497,1512,841,70,47,3,21,972,808,92,61,33,8,21
Puerto Rico,616,231,173,42,11,0,4,1,363,352,5,6,8,14,0
Virgin Islands,20,13,11,1,0,0,0,1,9,5,1,3,0,0,1
Region II — Total,5895,3779,2325,1176,150,70,9,46,2021,1750,130,111,56,8,31
District of Columbia,209,109,82,11,12,0,0,1,98,85,7,6,1,0,1
Maryland,622,371,247,68,14,29,0,13,238,199,17,22,7,1,5
Pennsylvania,2319,1468,906,388,105,53,1,16,830,692,84,44,11,1,9
Virginia,390,212,138,44,10,16,0,4,165,139,10,16,6,0,7
West Virginia,381,256,172,66,13,1,0,4,126,102,4,10,0,0,4
Region III — Total,3911,2416,1545,537,158,85,1,42,1408,1235,69,104,11,7,33
Alabama,579,374,264,62,32,7,1,8,200,181,10,9,0,0,5
Florida,924,616,450,76,23,5,0,8,260,230,20,19,25,0,5
Georgia,639,388,213,62,15,1,0,9,244,214,21,9,2,0,0
Kentucky,628,419,325,64,24,4,0,2,202,151,6,15,2,1,4
Mississippi,199,112,99,11,1,0,0,0,86,77,0,8,1,0,0
North Carolina,485,335,296,34,3,1,0,1,145,125,8,12,0,2,3
South Carolina,199,179,103,70,6,0,0,0,19,17,0,2,0,1,0
Tennessee,813,560,414,100,12,7,1,3,239,216,16,22,1,0,1
Region IV — Total,4456,2911,2245,458,125,46,0,31,1519,1338,85,96,2,4,29
