row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Totals-all types,46,38,8,26,19,7,15,14,1,5,5,
NLRB-initiated actions or interventions,4,3,1,3,2,1,1,1,0,0,0,
To enforce subpoena,0,0,0,0,0,0,0,0,0,0,0,
To defend Board's jurisdiction,1,1,0,I,1,0,0,0,0,0,0,
To prevent conflict between NLRA and a section 301 suite,3,2,1,2,1,1,1,1,0,0,0,
Action by other parties,42,35,7,23,17,6,14,13,1,5,5,
To review settlement agreements,3,2,1,3,2,I,0,0,0,0,0,
To review non-final orders,3,3,0,2,2,0,1,1,0,0,0,
To restrain NLRB from,9,7,2,2,1,1,4,3,1,3,3,
Proceeding with section 10(e) application,1,1,0,1,1,0,0,0,0,0,0,
Proceeding in R case,3,3,0,0,0,0,3,3,0,0,0,
Proceeding in unfair labor practice case,5,3,2,1,0,1,1,0,1,3,3,
Enforcing subpoena,0,0,0,0,0,0,0,0,0,0,0,
Other,0,0,0,0,0,0,0,0,0,0,0,
To compel NLRB to,25,21,4,16,12,4,9,9,1,0,0,
Take action in C Case,I,,0,0,0,0,I,1,0,0,0,
Issue complaint,10,1,0,6,6,0,4,4,0,0,0,
Take action in R case,3,10 3,0,0,0,0,3,3,0,0,0,
Comply with Freedom of Information,2,2,0,1,1,0,1,1,0,0,0,
Act' Pay fees under Equal Access to Justice Act,9,5,4,9,5,4,0,0,0,0,0,
Other,2,2,0,0,0,,0,,0,2,2,
,,,,,,0,,0,,,2,
Objection to Board's proof of claim,2,2,0,0,0,0,0,0,0,2,,
