row_label,col_1,col_2,col_3,col_4
Cases decided by United States circuit courts of appeals',ao,100.0,735,100.0
Board orders enforced in full,16,53.3,436,59.3
Board orders enforced with modification,,26.7,193,26.3
Board orders set aside,6,20.0,95,12.9
Remanded to Board,,,11,1.5
Cases decided by U. S. Supreme Court_,,,59,100.0
Board orders enforced in full,,,45,76.3
Board orders enforced with modification,,,9,15.2
Board orders set aside,,,2,3.4
Remanded to Board,,,1,1.7.
Remanded to circuit courts of appeals,,,1,1.7
Board's request for remand or modification of enforced orders denied,,,1,1.7
