Action taken,Total all,Remedial actions taken by Employer / Employer Total,Remedial actions taken by Employer / Employer Informal settlement,Remedial actions taken by Employer / Employer Formal settlement,Remedial actions taken by Employer / Employer ALJ recommendation,Remedial actions taken by Employer / Employer Order of Board,Remedial actions taken by Union / Union Total,Remedial actions taken by Union / Union Informal settlement,Remedial actions taken by Union / Union Formal settlement,Remedial actions taken by Union / Union ALJ recommendation,Remedial actions taken by Union / Union Order of Board,Remedial actions taken by Union / Union Order of Court
B. By number of employees affected,,,,,,,,,,,,
"Employees offered reinstatement, total",6463,6463,4677,425,17,881,463,,,,,
Accepted,5025,5025,4009,201,1,522,292,,,,,
Declined,1438,1438,668,224,16,359,171,,,,,
Employees placed on preferential hiring list,3373,3373,3257,56,2,47,11,,,,,
Hiring hall rights restored,160,,,,,,160,94,13,0,35,18
Objections to employment withdrawn,251,,,,,,251,142,25,0,44,39
Employees receiving backpay,,,,,,,,,,,,
From either employer or union,25929,25631,16989,6572,31,1500,1439,298,204,13,0,61
From both employer and union,162,162,83,10,0,54,15,162,83,10,0,54
"Employees reimbursed for fees, dues, and fines",,,,,,,,,,,,
From either employer or union,1586,1460,729,21,0,618,42,126,117,0,0,1
From both employer and union,99,99,87,4,0,0,8,99,87,4,0,7
