row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
Total all circuits,132,579,92,69.7,381,65.8,16,12.1,58,10.0,4,3.0,30,5.2,3,2.3,34 5.9,17,12.9,76,13.1
"1. Boston,MA",5,22,4,80.0,19,86.5,0,0.0,1,4.5,0,0.0,0,0.0,0,0.0,1 4.5,1,20.0,1,4.5
"2. New York, NY",7,52,5,71.4,36,69.2,1,14.3,6,11.5,0,0.0,3,5.8,0,0.0,2 3.9,1,14.3,5,9.6
"3. Philadelphia, PA",11,43,9,81.8,34,79.1,0,0.0,3,7.0,0,0.0,1,2.3,0,0.0,3 7.0,2,18.2,2,4.6
"4. Richmond, VA",13,46,5,38.5,25,54.4,5,38.5,4,8.7,0,0.0,1,2.2,0,0.0,6 13.0,3,23.0,10,21.7
"5. New Orleans, LA",3,26,2,66.7,18,69.3,0,0.0,1,3.8,0,0.0,2,7.7,0,0.0,1 3.8,1,33.3,4,15.4
"6. Cincinnati, OH",26,107,17,65.4,64,59.8,3,11.6,15,14.0,1,3.8,5,4.7,1,3.8,4 3.7,4,15.4,19,17.8
"7. Chicago, IL",9,39,6,66.7,26,66.7,1,11.1,4,10.3,0,0.0,2,5.1,1,11.1,1 2.5,1,11.1,6,15.4
"8. St. Louis,MO",8,23,6,75.0,14,60.9,2,25.0,2,8.7,0,0.0,2,8.7,0 0.0,1,4.3,0,0.0,4,17
"9. San Francisco, CA",10,74,8,80.0,61,82.4,1,10.0,4,5.4,0,0.0,2,2.7,1 10.0,1,1.4,0,0.0,6,8.1
"10. Denver, CO.",4,14,4,100.0,8,57.2,0,0.0,1,7.1,0,0.0,0,0.0,0,0.0,4 28.6,0,0.0,1,7.1
"11. Atlanta, GA",13,14,10,76.9,13,92.9,1,7.7,0,0.0,0,0.0,0,0.0,0,0.0,0 0.0,2,15.4,1,7.1
"Washington, DC",23,119,16,69.6,63,52.9,2,8.7,17,14.3,3,13.0,12,10.1,0,0.0,10 8.4,2,8.7,17,14.3
