row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO...............................................,2343,50.8,1190,1188,2,,1153,162706,74166,74085,81,,88540
Other local unions..................................,119,58.8,70,,1,69,49,5948,3293,,90,3203,2655
Other national unions............................,103,65.0,67,,67,,36,7068,4205,,4205,,2863
1-union elections...............................,2565,51.7,1327,1188,70,69,1238,175722,81664,74085,4376,3203,94058
AFL-CIO v. AFL-CIO.........................,80,71.3,57,57,,,23,6265,4447,4447,,,1818
AFL-CIO v. Local................................,25,96.0,24,12,,12,1,2437,2381,1525,,856,56
AFL-CIO v. National............................,21,81.0,17,5,12,,4,2451,2331,418,1913,,120
Local v. Local........................................,6,100.0,6,,,6,0,887,887,,,887,0
National v. Local...................................,5,100.0,5,,3,2,0,1933,1933,,1834,99,0
National v. National...............................,8,75.0,6,,6,,2,714,552,,552,,162
2-union elections...............................,145,79.3,115,74,21,20,30,14687,12531,6390,4299,1842,2156
AFL-CIO v. AFL-CIO v. AFL-CIO…,1,0.0,0,0,,,1,216,0,0,,,216
AFL-CIO v. AFL-CIO v. AFL-CIO v. AFL-CIO...............................................,2,0.0,0,0,,,2,946,0,0,,,946
AFL-CIO v. AFL-CIO v. National…..,2,50.0,1,0,1,,1,79,56,0,56,,23
AFL-CIO v. Local v. Local..................,2,100.0,2,1,,1,0,220,220,110,,110,0
Local v. Local v. Local..........................,2,100.0,2,,,2,0,94,94,,,94,0
3 (or more)-union elections...............,9,55.6,5,1,1,3,4,1555,370,110,56,204,1185
Total representation elections............,2719,53.2,1447,1263,92,92,1272,191964,94565,80585,8731,5249,97399
