Stage and method of disposition,All C cases / Number of cases,All C cases / Percent of cases closed,CA cases 1 / Number of cases,CA cases 1 / Percent of cases closed,CB cases 1 / Number of cases,CB cases 1 / Percent of cases closed,CC cases 1 / Number of cases,CC cases 1 / Percent of cases closed,CD cases 1 / Number of cases,CD cases 1 / Percent of cases closed
"After intermediate report, before issuance of Board decision",44,.8,25,.7,13,1.1,6,1.4,0,.0
Compliance,41,.8,23,.6,13,1.1,5,1.2,0,.0
Withdrawn,3,,2,,0,.0,1,.2,0,.0
After Board order adopting intermediate report in absence of exceptions,19,.4,12,.3,7,.6,0,.0,0,.0
Compliance,8,.2,5,.1,3,.3,0,.0,0,.0
Dismissed,11,.2,7,.2,4,.3,0,.0,0,.0
"After Board decision, before court decree",143,2.8,80,2.3,44,3.8,18,4.1,1,1.0
Compliance,107,2.1,56,1.6,35,3.0,16,3.7,0,.0
Dismissed,34,.7,22,.6,9,.8,2,.4,1,1.0
Otherwise,2,,2,,0,.0,1,.0,0,.0
After Board order adopting intermediate report followed by circuit court decree compliance,8,.2,5,.1,3,.3,0,.0,0,.0
"After circuit court decree, before Supreme Court action",102,2.0,68,2.0,25,2.2,6,1.4,3,3.0
Compliance,86,1.7,57,1.7,23,2.0,6,1.4,0,.0
Dismissed,14,.3,10,.3,1,.1,0,.0,3,3.0
Otherwise,2,,1,,1,.1,0,.0,0,.0
After Supreme Court denied writ of certiorari,27,.5,19,.6,7,.6,1,.2,0,.0
Compliance,25,.5,18,.6,6,.6,1,.2,0,.0
Dismissed,2,,1,,1,.1,0,.0,0,.0
After Supreme Court opinion,5,.1,4,.1,0,.0,1,.2,0,.0
Compliance,3,.1,2,,0,.0,1,.2,0,.0
Dismissed,2,,2,,0,.0,0,.0,0,.0
