Disposition,FY1986 — Total — Number,FY1986 — Vs employers only — Number,FY1986 — Vs unions only — Number,FY1986 — Vs both employers and unions — Number,FY1986 — Board dismissal — Number,FY1986 — Total — Percent,FY1986 — Vs employers only — Percent,FY1986 — Vs unions only — Percent,FY1986 — Vs both employers and unions — Percent,FY1986 — Board dismissal — Percent,"July 5, 1935-Sept 30, 1986 cumulative — Number","July 5, 1935-Sept 30, 1986 cumulative — Percent"
Proceedings decided by US courts of appeals,214,140,60,0,14,,,,,,9293,100.0
On petitions for review and/or enforcement,197,129,54,0,14,100.0,100.0,,,,9051,100.0
Board orders affirmed in full,146,105,35,0,6,81.4,64.8,,,42.9,5990,64.5
Board orders affirmed with modification,7,5,3,0,2,5.4,5.6,,,14.3,1335,14.4
Remanded to Board,16,8,8,0,0,6.2,14.8,,,0.0,854,9.4
Board orders partially affirmed and partially remanded,7,3,4,0,2,2.3,7.4,,,,472,5.2
Board orders set aside,16,6,4,0,4,4.7,7.4,,,,1322,14.2
On petitions for contempt,17,11,6,0,0,100.0,100.0,,,,,
"Compliance after filing of petition, before court order",0,0,0,0,0,,,,,,,
Board orders holding respondent in contempt,14,9,5,0,0,81.8,83.1,,,,,
Court orders denying petition,0,0,0,0,0,,,,,,,
Court orders denying review without contempt adjudication,3,2,1,0,0,16.7,,,,,,
Contempt petitions withdrawn without compliance,0,0,0,0,0,,,,,,,
Proceedings decided by US Supreme Court,1,0,0,0,1,,,,,100.0,243,100.0
Board orders affirmed in full (SCOTUS),0,0,0,0,0,,,,,,146,60.1
Board orders affirmed with modification (SCOTUS),0,0,0,0,0,,,,,,18,7.4
Board orders set aside (SCOTUS),0,0,0,0,0,,,,,,28,11.5
Remanded to Board (SCOTUS),0,0,0,0,0,,,,,,17,7.0
Remanded to court of appeals (SCOTUS),0,0,0,0,0,,,,,,19,7.8
Board's request for remand or modification of enforcement order denied (SCOTUS),1,0,0,0,1,,,,,100.0,6,2.5
Contempt cases reviewed (SCOTUS),0,0,0,0,0,,,,,,7,2.9
