row_label,Number of cases,Percentage of— / Total cases closed,Percentage of— / Total cases on docket,Number of workers involved,Percentage of— / Total number of workers involved in cases closed,Percentage of— / Total number of workers involved in cases on docket
"Cases pending June 30, 1937",329,,22.9,93887,,36.0
"Cases received July 1, 1937, to June 30, 1938",1105,,77.1,166601,,64.0
Total cases on docket,1434,,100.0,260488,,100.0
Cases closed before formal action:,,,,,,
By settlement:,,,,,,
(a) Consent election,228,20.2,15.9,35175,18.6,13.4
(b) Recognition of representatives,301,26.7,21.0,21862,11.6,8.4
(c) Payroll check,74,6.6,5.2,12509,6.6,4.8
By dismissal,73,6.5,5.1,15064,8.0,5.8
By withdrawal,208,18.4,14.5,29078,15.4,11.2
By transfer to other agencies,5,.4,.4,3037,1.6,1.2
Total cases closed before formal action,889,78.8,62.0,116725,61.8,44.8
Cases closed after formal action:,,,,,,
By settlement:,,,,,,
(a) Consent election,11,1.0,.8,3337,1.8,1.3
(b) Recognition of representatives,2,.2,.1,425,.2,.2
(c) Payroll check,2,.2,.1,30,,
By dismissal before issuance of Board decision,9,.8,.6,3318,1.8,1.3
By withdrawal before issuance of Board decision,34,3.0,2.4,4019,2.1,1.5
By certification by Board without election,36,3.2,2.5,4997,2.6,1.9
By certification by Board after election,104,9.2,7.3,44784,23.6,17.2
By dismissal of petition by Board without election,31,2.7,2.2,8608,4.6,3.3
By dismissal of petition by Board after election,10,.9,.7,2757,1.5,1.1
Total cases closed after formal action,239,21.2,16.7,72275,38.2,27.8
"Total cases closed July 1, 1937, to June 30, 1938",1128,100.0,78.7,189000,100.0,72.6
Cases pending:,,,,,,
Before hearing,202,,14.1,40504,,15.5
After hearing:,,,,,,
Awaiting decision,59,,4.1,16259,,6.2
Awaiting certification,45,,3.1,14725,,5.7
"Total cases pending June 30, 1938",306,,21.3,71488,,27.4
