Year and month,Number of workers involved in cases brought before Board (1),Number of workers involved in strikes — For all causes (2),Number of workers involved in strikes — For organization (3),Ratio of Board cases to strikes — Percent for all causes [(1) over (2)],Ratio of Board cases to strikes — Percent for organization [(1) over (3)]
1935 — October,47790,92357,28213,52,169
1936 — Total,523138,763783,419538,68,125
1937 — Total,2339631,1816847,1031229,129,222
1938 — Total,1319459,622927,195748,187,620
1939 — January,149196,45271,18719,329,822
