Method and stage of disposition,All C Number,All C Percent,CA Number,CA Percent,CB Number,CB Percent,CC Number,CC Percent,CD Number,CD Percent,CE Number,CE Percent,CP Number,CP Percent
Adopting trial examiner's decision (no exceptions filed),63,0.4,44,0.4,7,0.2,10,0.7,0,0,0,0,2,0.5
Contested,392,2.4,,,,,,,,,,,,
Circuit court of appeals decree,241,1.5,,,,,,,,,,,,
Supreme Court action,39,0.2,34,0.3,,,,,0,0,0,0,0,0
Withdrawn,6153,37.6,4132,38.4,1317,41.2,699,51.2,,,12,22.6,173,40.1
Withdrawn — Before issuance of complaint,5961,36.5,4015,37.2,1265,40.2,655,35.6,,,11,20.7,165,38.3
Dismissed,4569,27.9,3040,28.1,1181,37.0,126,9.2,226,45.9,24,45.3,118,27.4
Dismissed — Before issuance of complaint,4301,26.3,2827,26.1,1134,35.5,119,8.7,218,44.3,19,35.8,118,27.4
10(k) actions (see table 7A for details of dispositions),492,3.0,,,,,,,492,100.0,0,0,0,0
Otherwise complied with order of trial examiner or Board action — firms went out of business,,,,,,,,,,,,,,
